"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"STOREY","1.396","1.22","1.168","1.004","0.868","0.736","0.528","0.388","0.264"
"PC","1.48949769333925","1.30770469252009","1.24515028115243","1.0816185645353","0.952297228743867","0.803904325957943","0.616323565542372","0.456451138200093","0.345379828448443"
"RES_STOREY","0.865250361761375","0.75223743817887","0.746005468170438","0.645899109089836","0.564458215218044","0.481472592792744","0.340636370215375","0.24971979832513","0.172306054278801"
"PC_midp","0.894190802720049","0.787151561669814","0.765592718733352","0.666474362561842","0.598747813891056","0.507633393230618","0.387172474170275","0.295559445295345","0.22853345991512"
"STOREY_RANDOM","0.892165297033401","0.789698100741662","0.765952259609067","0.6663269561577","0.59710039966562","0.506581319502128","0.388093389794386","0.294587139011563","0.228280418018198"
"PC_RANDOM","0.865675259645064","0.735683718818492","0.754687986117105","0.635038798959153","0.556723512941221","0.469111165402633","0.328753700778639","0.229859698990704","0.144772495553552"
"STOREY","1.428","1.256","1.116","1.028","0.892","0.708","0.616","0.44","0.28"
"PC","1.50070872324728","1.33262187089483","1.20688703208226","1.08591660392906","0.948855454940346","0.790820607804093","0.678935793741625","0.513329806510031","0.358140284974084"
"RES_STOREY","0.89775166123848","0.792307845614362","0.698496462355282","0.659863910695535","0.572988391718435","0.456358164130977","0.407853082685511","0.286501072546506","0.201447724644853"
"PC_midp","0.906022739884958","0.809691187187013","0.73656213510345","0.667925398373269","0.584155832168034","0.496949656425655","0.43332316167671","0.33402122917737","0.245070299241926"
"STOREY_RANDOM","0.903700486776791","0.809203913638703","0.735291055043642","0.669599716290651","0.584046465618766","0.497123037990699","0.433022123143742","0.332889718284831","0.244104393113372"
"PC_RANDOM","0.882105019794909","0.779032933626766","0.697647657522315","0.650541354555825","0.551809524055263","0.455522649842293","0.380305801566086","0.247179784871352","0.172082906112571"
"STOREY","1.412","1.276","1.132","1.028","0.9","0.712","0.58","0.428","0.252"
"PC","1.50891813723431","1.36965083777287","1.2082833185094","1.08683098860395","0.961669217701522","0.784093862093052","0.657199278300338","0.507990122778344","0.33825087018367"
"RES_STOREY","0.873328509778518","0.806381949484139","0.713390228730767","0.652725548979228","0.577687751758817","0.461076795294886","0.381173223013056","0.274452454861563","0.177316735779968"
"PC_midp","0.904983302559638","0.834534693788394","0.734086835899802","0.668506485767919","0.598257568731945","0.489012278776821","0.417907137346231","0.323492957622207","0.231891968036701"
"STOREY_RANDOM","0.90181702325836","0.830900746370899","0.734436517422136","0.66847848854736","0.600268617568517","0.48783304756493","0.418750037486607","0.323953904635616","0.231786362837274"
"PC_RANDOM","0.880717838149687","0.81416087876614","0.709274744170026","0.644506338243781","0.552092020656906","0.43784474816209","0.359374148172382","0.26272228781472","0.150174731664111"
"STOREY","1.44","1.296","1.188","0.952","0.856","0.68","0.576","0.412","0.28"
"PC","1.49383123523904","1.36331230282111","1.23654557448272","1.04651890610875","0.925850096092945","0.759111858868207","0.658244680157129","0.472186326694447","0.371369361888729"
"RES_STOREY","0.909281291130816","0.81225113421345","0.757738693944238","0.607209763009635","0.551701824923156","0.439440564100726","0.389207015067579","0.268481079428146","0.200075868031851"
"PC_midp","0.905106249026474","0.827984281135318","0.760038551572311","0.646558844879436","0.574188096349739","0.474715287873659","0.423156407830042","0.299038223309278","0.257715432627668"
"STOREY_RANDOM","0.903741608325676","0.825285821305561","0.76011636029106","0.647479413719881","0.574832724399943","0.474767176697072","0.422338422490845","0.298011342775496","0.257345530419652"
"PC_RANDOM","0.907947196711384","0.804009656103135","0.751614042674493","0.606294232786357","0.533573789407839","0.420113617394588","0.36359839060506","0.238732533400496","0.181941292065477"
"STOREY","1.436","1.22","1.14","1.004","0.812","0.688","0.54","0.436","0.296"
