"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"PC","474.620085870865","521.146834749068","502.62266385246","518.977070388654","511.14103663696","500.026318814296","500.163081308148","491.767149180524","495.456598005509"
"PC_ZZD","478.153994456326","505.8545","505.8545","505.8545","505.8545","503.857708981292","503.996072827185","495.501832730279","499.234481311556"
"SAMPLE DIFF","-3.53390858546192","15.2923347490679","-3.23183614753998","13.122570388654","5.28653663696002","-3.83139016699658","-3.83299151903708","-3.73468354975472","-3.77788330604648"
"PC","480.915600421074","505.936863374562","506.916976799298","513.753319429245","507.151056243833","493.934276170274","508.696448063421","495.772011639477","502.980384629402"
"PC_ZZD","484.523223186405","505.8545","505.8545","505.8545","505.8545","497.694334609951","505.8545","499.553588123764","505.8545"
"SAMPLE DIFF","-3.60762276533035","0.0823633745624761","1.06247679929839","7.89881942924529","1.29655624383298","-3.76005843967772","2.84194806342066","-3.78157648428663","-2.87411537059791"
"PC","517.749104948074","500.466096507835","504.436982765932","517.084908567907","507.702012463182","515.915795764247","502.698396780681","512.978277607157","508.475084370915"
"PC_ZZD","505.8545","504.302636031846","505.8545","505.8545","505.8545","505.8545","505.8545","505.8545","505.8545"
"SAMPLE DIFF","11.8946049480741","-3.83653952401022","-1.41751723406747","11.2304085679073","1.84751246318194","10.0612957642475","-3.1561032193186","7.12377760715657","2.6205843709152"
"PC","493.71913027305","514.294889802887","498.474931203197","494.585233532162","491.831748007155","496.452814364874","514.794015873964","474.294654436279","499.34480523745"
"PC_ZZD","497.476669569417","505.8545","502.288156172655","498.35291403159","495.567187944571","500.242362368272","505.8545","477.824752545074","503.168215561975"
"SAMPLE DIFF","-3.75753929636716","8.44038980288695","-3.81322496945825","-3.76768049942808","-3.73543993741578","-3.78954800339829","8.93951587396424","-3.53009810879439","-3.8234103245253"
"PC","512.651658665523","492.552635197623","489.778868301824","502.276146607336","499.192852738349","522.058465178573","510.47254945467","492.056044072852","504.098825705542"
"PC_ZZD","505.8545","496.296516003152","493.49027107077","505.8545","503.014483851062","505.8545","505.8545","495.794110292901","505.8545"
"SAMPLE DIFF","6.79715866552345","-3.74388080552893","-3.71140276894602","-3.57835339266364","-3.82163111271331","16.2039651785734","4.61804945467043","-3.73806622004901","-1.7556742944584"
"PC","491.139658453077","513.663047475105","484.316466147129","504.867235752039","480.922208675204","498.303910596991","487.052887512028","494.233618748046","487.499045097383"
"PC_ZZD","494.866994713905","505.8545","487.963909649246","505.8545","484.529908816582","502.115133086171","490.732371771907","497.997182189967","491.183753416428"
"SAMPLE DIFF","-3.72733626082709","7.80854747510529","-3.64744350211674","-0.987264247961377","-3.60770014137796","-3.81122248918012","-3.67948425987834","-3.76356344192084","-3.68470831904523"
"PC","508.069351619084","514.614351702468","492.365171981385","474.360997075466","483.526047350944","475.952066583368","503.642909744481","478.512203660569","493.201269001763"
"PC_ZZD","505.8545","505.8545","496.106857780115","477.891871990222","487.164235839376","479.501571330993","505.8545","482.09168505323","496.952744660505"
"SAMPLE DIFF","2.21485161908419","8.75985170246832","-3.74168579873003","-3.53087491475662","-3.63818848843221","-3.54950474762467","-2.21159025551935","-3.57948139266159","-3.75147565874164"
"PC","490.951235071663","509.572102547755","495.722888974129","503.511398039577","507.878038778032","493.095909807658","473.793736950049","518.938320526516","492.944373230162"
"PC_ZZD","494.676365083117","505.8545","499.503890281127","505.8545","505.8545","496.846151815596","477.317969815998","505.8545","496.692840896314"
"SAMPLE DIFF","-3.7251300114541","3.71760254775467","-3.78100130699806","-2.34310196042259","2.02353877803216","-3.75024200793786","-3.52423286594814","13.0838205265164","-3.74846766615195"
"PC","513.257540448375","498.849497679767","494.85681467233","505.351031008194","489.337067088465","485.4165278967","501.889717995533","507.838793182545","490.873164945549"
"PC_ZZD","505.8545","502.6671084481","498.627675115328","505.8545","493.043296807004","489.076852021843","505.742926703542","505.8545","494.597380833897"
"SAMPLE DIFF","7.40304044837552","-3.81761076833237","-3.7708604429983","-0.503468991806244","-3.70622971853879","-3.66032412514244","-3.85320870800967","1.98429318254483","-3.72421588834743"
"PC","490.993023769717","498.616660911144","512.536987814033","530.665670101501","493.601427525654","516.480645898331","495.712203764728","496.063062441485","508.468803824507"
