"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"PC","100.641398088565","119.626087078709","176.479975247405","222.07207115175","267.795670455663","315.262469001935","352.277560691704","386.012861076462","443.727215988847"
"PC_ZZD","99.7963902187842","119.003370932314","176.522961277577","222.648895032866","268.907871961029","316.930459251479","354.378960649843","388.509267666806","446.89939996086"
"SAMPLE DIFF","0.845007869781","0.622716146395405","-0.0429860301718747","-0.576823881115843","-1.11220150536536","-1.66799024954366","-2.10139995813915","-2.49640659034429","-3.17218397201339"
"PC","93.2904350301324","119.42962893252","208.737618719768","233.586466521779","257.977869587798","297.498394794269","365.127381283107","416.0428490879","467.593093809519"
"PC_ZZD","99.147482","118.804612457691","209.158309497357","234.298112458282","258.975114462802","298.958385498915","367.37923979055","418.89087680787","471.044723344935"
"SAMPLE DIFF","-5.85704696986755","0.625016474829124","-0.420690777589755","-0.711645936503515","-0.997244875003503","-1.45999070464609","-2.2518585074439","-2.84802771997022","-3.45162953541563"
"PC","86.8284715410281","111.639976394442","183.882019993589","231.440022681674","284.185148153122","298.389520685858","361.08318342402","422.96715942539","434.2371733035"
"PC_ZZD","99.147482","110.923750878044","184.011676565694","232.126535907254","285.489254052847","299.859945583569","363.287688418732","425.896263895102","437.29823836571"
"SAMPLE DIFF","-12.3190104589719","0.716225516397486","-0.129656572104921","-0.686513225579716","-1.3041058997249","-1.4704248977107","-2.20450499471184","-2.92910446971189","-3.06106506221067"
"PC","86.9521797106438","117.773247405888","179.968275698698","198.3306127492","281.359206575971","325.486048050438","343.042620997216","400.863171980601","466.659162330771"
"PC_ZZD","99.147482","117.128836359763","180.052106238854","198.629447893881","282.630223525769","327.273746187061","345.035889046473","403.533460861322","470.099856462502"
"SAMPLE DIFF","-12.1953022893562","0.644411046124461","-0.0838305401560433","-0.298835144680396","-1.27101694979802","-1.78769813662257","-1.99326804925641","-2.67028888072088","-3.44069413173099"
"PC","81.0483113913915","149.041241712484","178.059747282006","207.55959460533","259.597220825755","317.808099258194","367.487775149357","423.198211941608","470.387769552902"
"PC_ZZD","99.147482","148.762947611696","178.121230862931","207.966491898564","260.613426684404","319.505896292408","369.767271508581","426.130021805232","473.872121946597"
"SAMPLE DIFF","-18.0991706086085","0.278294100788514","-0.0614835809249996","-0.406897293233811","-1.01620585864873","-1.6977970342142","-2.2794963592238","-2.93180986362427","-3.48435239369491"
"PC","92.2132411465461","145.623603155596","193.331818711801","230.033995819011","288.31737351909","298.975378568729","356.673240599709","425.231828327289","476.35974111857"
"PC_ZZD","99.147482","145.305291924944","193.572122977097","230.704045876055","289.669863645625","300.45266327639","358.826109573891","428.187449805173","479.914019327328"
"SAMPLE DIFF","-6.93424085345389","0.318311230651148","-0.240304265296459","-0.67005005704479","-1.35249012653503","-1.47728470766123","-2.15286897418201","-2.95562147788422","-3.55427820875735"
"PC","80.4135927016579","124.184027371437","177.571091256329","200.709771406952","255.825273202519","320.731526134923","346.881015030071","420.055600414483","471.199994616135"
"PC_ZZD","99.147482","123.614680147929","177.62685316385","201.036464120356","256.797313326447","322.463553574437","348.919226835058","422.950613439736","474.693857353095"
"SAMPLE DIFF","-18.7338892983421","0.569347223507847","-0.055761907520349","-0.326692713403986","-0.972040123928309","-1.73202743951379","-2.0382118049871","-2.89501302525315","-3.4938627369603"
"PC","89.3820951631713","139.430994778115","196.732020802386","236.765044952146","264.565968691832","326.25860493415","366.30552944332","386.489419002102","452.208368818196"
"PC_ZZD","99.147482","139.040174295972","197.012138033961","237.513908863491","265.640353619245","328.055348939324","368.571182887572","388.991405609198","455.479858608689"
"SAMPLE DIFF","-9.76538683682871","0.390820482143056","-0.280117231575133","-0.748863911344671","-1.07438492741267","-1.79674400517393","-2.26565344425183","-2.5019866070956","-3.27148979049224"
"PC","99.5397259837314","148.276521482826","182.758329973007","231.589136786454","286.713946265288","321.036884700699","370.595324400805","432.635811279565","448.64796825412"
"PC_ZZD","99.147482","147.989273272868","182.874829258661","232.277395989086","288.047661862108","322.772487583659","372.911207054214","435.678125993838","451.877769314408"
"SAMPLE DIFF","0.392243983731419","0.287248209957596","-0.11649928565393","-0.688259202632594","-1.33371559682024","-1.73560288296045","-2.31588265340901","-3.04231471427244","-3.22980106028746"
"PC","92.782231467111","132.316263199952","190.944778752564","249.609503783201","313.00176250537","326.972158288003","377.59905613124","393.428033632546","469.646705277766"
"PC_ZZD","99.147482","131.84213632576","191.157133166977","250.508763462998","314.643282142545","328.777257289397","379.99694547948","396.011264478349","473.122380549863"
"SAMPLE DIFF","-6.36525053288901","0.474126874191768","-0.212354414413767","-0.899259679797495","-1.64151963717535","-1.80509900139424","-2.39788934824065","-2.58323084580348","-3.47567527209736"
"PC","69.0883568016407","125.675578415639","190.227734760469","232.691867365663","264.597994106427","313.185688016939","353.223175012874","406.746736414207","475.652262496548"
"PC_ZZD","99.147482","125.123695763307","190.43169330678","233.393038440647","265.672754019419","314.82936123793","355.3356471691","409.485915950881","479.19825683812"
"SAMPLE DIFF","-30.0591251983593","0.551882652331287","-0.203958546310332","-0.701171074984529","-1.07475991299214","-1.64367322099031","-2.11247215622575","-2.73917953667393","-3.54599434157205"
"PC","89.5773911167968","120.245598017853","167.266243803863","184.535406148366","267.548615826827","314.880784379049","356.855108054783","401.317539790476","464.025935675769"
"PC_ZZD","99.147482","119.630135725044","167.201346252562","184.672713218957","268.657924569543","316.544305483343","359.010106514996","403.993148863882","467.435797356597"
"SAMPLE DIFF","-9.57009088320319","0.615462292808971","0.0648975513005894","-0.13730707059122","-1.10930874271628","-1.66352110429426","-2.15499846021345","-2.67560907340669","-3.40986168082759"
"PC","82.2769597484408","150.072645376785","186.415390217632","215.057469015719","275.803009421293","299.48238257384","353.070245577068","416.68776079361","457.155214677481"
"PC_ZZD","99.147482","149.806427981501","186.57471002169","215.552158920424","277.008968858606","300.965603791397","355.18092708253","419.543339784742","460.484627086139"
"SAMPLE DIFF","-16.8705222515592","0.266217395283235","-0.159319804058242","-0.494689904705041","-1.20595943731388","-1.48322121755706","-2.11068150546186","-2.85557899113235","-3.32941240865858"
"PC","77.7364681051312","138.95009110563","155.620051427939","235.684809595512","285.163831407196","306.59247993174","366.889743557316","435.630429170204","426.839123300031"
"PC_ZZD","99.147482","138.553639722386","155.418788610108","236.421025031066","286.479396709143","308.158953279261","369.162237564628","438.707807865358","429.813564594751"
"SAMPLE DIFF","-21.4110138948688","0.39645138324417","0.201262817830269","-0.736215435553845","-1.31556530194683","-1.56647334752074","-2.27249400731262","-3.07737869515393","-2.97444129472007"
