"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"STOREY","0.1024","0.2188","0.3116","0.3938","0.5084","0.6034","0.7016","0.825","0.9126"
"PC","0.163696281480337","0.26804783008698","0.352319050103358","0.435289964792247","0.53797053903651","0.628149672529956","0.719566320333972","0.827023538031058","0.910261861337564"
"PC_STOREY","0.100231707996116","0.217435935103116","0.30835226304258","0.392065905711222","0.505261421275868","0.601251475729914","0.700668072757422","0.82255753764852","0.908966291765894"
"QUAD","0.114929728896179","0.227931833941492","0.316210396484702","0.401825813641935","0.511130806316791","0.606419061048703","0.704623181704997","0.820221842189261","0.904984258734471"
"PC_ZZD","0.163883113682319","0.268481558052966","0.352952163775902","0.436119387648945","0.53904290413187","0.629435401455162","0.721068341047883","0.828779802522039","0.912215067701489"
"QUAD_STOREY","0.0982586771733689","0.216469910363782","0.305379299443971","0.390435654299707","0.502754189705919","0.599353810905471","0.700485819844152","0.820112522339053","0.905071217287736"
"STOREY","0.1094","0.209","0.3038","0.4172","0.507","0.62","0.6866","0.7982","0.9044"
"PC","0.166801173968475","0.263460547208155","0.346429827450598","0.44970833241145","0.533769364093339","0.634315353709264","0.716681436885703","0.810276480573939","0.912848921421147"
"PC_STOREY","0.107173532032472","0.206375515017478","0.298989014366088","0.415222854380627","0.50726925707113","0.61432897604442","0.687046557091835","0.797879573372612","0.910322758641017"
"QUAD","0.120579448891902","0.219341410735084","0.307082516430993","0.421450687189665","0.511886659983415","0.612580381978708","0.697670813749242","0.800078778781824","0.914350111372177"
"PC_ZZD","0.166995352346084","0.26388342166285","0.347049007222346","0.450571869125936","0.534831789208784","0.63561567063614","0.718176631965374","0.811993121526977","0.91480824876923"
"QUAD_STOREY","0.105170339356402","0.204170833438299","0.294937220760082","0.413984990985945","0.507703380014667","0.609187489572064","0.687449315290054","0.79751066857076","0.915884479736643"
"STOREY","0.1088","0.206","0.3082","0.3928","0.4986","0.6006","0.693","0.8106","0.894"
"PC","0.171186521653755","0.257637692493895","0.358285918976453","0.436754288855335","0.542185481332461","0.627231641578712","0.715458920222317","0.820258354088227","0.908698049821607"
"PC_STOREY","0.105930108523464","0.20471245277926","0.30615423404521","0.392588848748859","0.500713056514364","0.601930801943596","0.690428208516461","0.812890174464023","0.898330273523684"
"QUAD","0.121598143410945","0.217022339661533","0.319003552848326","0.405906166517708","0.515842401232599","0.608330709190326","0.695264824589902","0.815095636713725","0.906409514783253"
"PC_ZZD","0.171391075763988","0.258046790074336","0.358933150260751","0.437587176302767","0.543267818981294","0.628515198442687","0.716951222827564","0.821998612154","0.910647556207485"
"QUAD_STOREY","0.103676322482236","0.203803162006205","0.304170893611711","0.392669465945402","0.502541453666815","0.602940616639124","0.687832702106479","0.815386057368856","0.902550502636413"
"STOREY","0.1182","0.2038","0.3038","0.3972","0.501","0.6058","0.6986","0.8096","0.891"
"PC","0.177637979433791","0.256950890656527","0.350753620914722","0.434211755267325","0.53401433929163","0.633343981071432","0.719335995468041","0.820814350642789","0.900233877250585"
"PC_STOREY","0.117261928917064","0.200253537302323","0.302598765769525","0.396105612466626","0.499786282953395","0.604284365334479","0.692165994855329","0.810964769704867","0.890216366957481"
"QUAD","0.131325766739863","0.212362221159421","0.314136686527619","0.403450964910313","0.507602438663622","0.611310444147902","0.696166146570487","0.814867667759797","0.892837885136335"
"PC_ZZD","0.177857797693131","0.25735836326382","0.351383030781806","0.435038627080288","0.535077344018394","0.634641999730647","0.720837471233318","0.822555924196409","0.90216335740416"
"QUAD_STOREY","0.116368912111454","0.196776784001065","0.302091046635049","0.394982543811524","0.498764449011853","0.603144370074246","0.685997940984855","0.812536867214339","0.889623941396255"
"STOREY","0.1138","0.218","0.3086","0.4032","0.5204","0.6166","0.6886","0.795","0.915"
"PC","0.172600002736845","0.264393050095639","0.355779540342099","0.446732815125373","0.545740161117618","0.63787864113496","0.709308795186878","0.811488782747971","0.911895439980967"
"PC_STOREY","0.111602907428029","0.214858649566522","0.306517023638175","0.401390662143519","0.519921697182569","0.615486847802445","0.682871907483936","0.796257843609666","0.910719848912443"
"QUAD","0.124821952670854","0.223937879393124","0.31791313974259","0.413445348059468","0.524166759507535","0.619922935584966","0.686850984423551","0.802231710150943","0.905894639253667"
"PC_ZZD","0.172807901143321","0.264818130852165","0.356420841534549","0.44758931176596","0.546830909138822","0.639187388799886","0.71078654659629","0.813208292007953","0.913852511391962"
"QUAD_STOREY","0.109551548154268","0.211838715137336","0.30440865461921","0.400483749642878","0.520005343430458","0.614446877366186","0.677797345470783","0.798135968273145","0.906157049308885"
"STOREY","0.1188","0.2116","0.3142","0.4012","0.5024","0.6146","0.7106","0.8126","0.9016"
"PC","0.175369223757318","0.260610097143607","0.35507446342377","0.441973918811235","0.537093330768382","0.641891899237471","0.721058756678751","0.814732647946373","0.905080465169622"
"PC_STOREY","0.115863606251093","0.209894468378659","0.310264920604482","0.399290883536289","0.502059612514868","0.61547200701113","0.706646005332569","0.808909765194976","0.901004421905987"
"QUAD","0.128419933268106","0.220321701221235","0.317933766313471","0.408853811740274","0.510875915885689","0.623431026753262","0.705310571597944","0.805518937167573","0.900524012346666"
"PC_ZZD","0.175583674140728","0.261026227433448","0.355714096404231","0.442819155903143","0.53816362038898","0.643210142271067","0.722564308497053","0.816459832191414","0.907021412350213"
"QUAD_STOREY","0.112955568003906","0.208549486371674","0.306690271922105","0.397589193228633","0.501519395757997","0.615990381362498","0.703498662964605","0.806199246580022","0.90019995338758"
"STOREY","0.1082","0.2026","0.3096","0.4118","0.4966","0.5914","0.7154","0.7996","0.8642"
"PC","0.16403249764268","0.255945313124162","0.354545618366255","0.450964606323253","0.533566783309768","0.625172036520973","0.729249540606119","0.813889635524915","0.886754481584026"
"PC_STOREY","0.106394377073228","0.202743220798878","0.30897824145061","0.412513978038666","0.495572486407898","0.595030474519717","0.713759537703931","0.798435445903684","0.861158122947399"
"QUAD","0.118676359791512","0.216027045482987","0.319558259681692","0.422606458601729","0.50631472629267","0.606425415491037","0.71382280112647","0.802761712572382","0.87070297525852"
