"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"STOREY","0.1462","0.2426","0.3386","0.4356","0.5362","0.6146","0.7412","0.8314","0.8908"
"PC","0.242527390285938","0.334275707701808","0.413374420769553","0.500635822735351","0.585447476161951","0.666155260669852","0.76164587443488","0.839941771084895","0.908711424225247"
"PC_STOREY","0.139845293918032","0.236841088937652","0.332502649923824","0.432552607665926","0.529389835860235","0.612304154038896","0.739950453217356","0.829779806589746","0.886206901890362"
"QUAD","0.165485543659491","0.261934796515569","0.351470044084592","0.450238007871927","0.540277232099163","0.628600366637913","0.74353735880205","0.827366035193401","0.890906943356186"
"PC_ZZD","0.242900736891354","0.33486613082623","0.414151991449094","0.501619853891943","0.58663217169055","0.667530910816596","0.763247455373793","0.841728600115282","0.910660962254964"
"QUAD_STOREY","0.134263723577079","0.231749687017732","0.326645575270147","0.429960678487658","0.52322396544921","0.610244413563158","0.739448953539678","0.82812501266468","0.881857769332163"
"STOREY","0.1444","0.235","0.3224","0.4334","0.523","0.6234","0.7076","0.81","0.8948"
"PC","0.241737540725646","0.327450763872995","0.400664776711371","0.499641249648974","0.578044030053421","0.665804035346578","0.73775449396502","0.831160302338823","0.911607138479512"
"PC_STOREY","0.136877797961287","0.228921369988623","0.315900621343274","0.429851051029002","0.518691574449586","0.61922447450614","0.705335945299211","0.811412041324875","0.896309087360364"
"QUAD","0.163052314092386","0.255689835573325","0.337136806314165","0.448064290493171","0.532947901113073","0.628487777378394","0.712093528403332","0.81769959953606","0.902833413805434"
"PC_ZZD","0.242109018547003","0.328025039180318","0.401412276373071","0.500622927645643","0.579211209028528","0.667178854494208","0.739299547897741","0.832926354414157","0.913563527769154"
"QUAD_STOREY","0.130190964074694","0.223479155027182","0.309948843135606","0.426413448155874","0.514928862953579","0.614664806295347","0.703128515603968","0.812772020806803","0.897651913130836"
"STOREY","0.1368","0.2346","0.321","0.414","0.5224","0.624","0.718","0.8104","0.91"
"PC","0.233899343528835","0.325067627402884","0.405497666840458","0.488593391851799","0.577964017722948","0.666474138553133","0.751602105306617","0.835765768300698","0.919013272496192"
"PC_STOREY","0.129033564508961","0.229989929259361","0.317601917880815","0.410944069793784","0.518111272947728","0.6213420583273","0.715227062409174","0.811097153890328","0.911048560133181"
"QUAD","0.154303226060879","0.254978877311649","0.34224854284538","0.432947872322838","0.53231657499355","0.631776785135084","0.724522979035678","0.819259403800525","0.912690426396564"
"PC_ZZD","0.234252276175624","0.325636264209319","0.406256601120203","0.48954893061692","0.579131007388881","0.66785054316495","0.753179922687772","0.837542716908498","0.920987184698918"
"QUAD_STOREY","0.122349508564684","0.225404971871982","0.314421374486136","0.408338952079308","0.514388361380214","0.618560720850855","0.712843105547005","0.811187032036373","0.911707560241414"
"STOREY","0.1366","0.2362","0.3284","0.4256","0.515","0.605","0.698","0.8032","0.9018"
"PC","0.240282822216441","0.325845842487299","0.409758197031894","0.493611927291511","0.578058834869795","0.654294705313571","0.738286921955396","0.829501637641574","0.919279108957196"
"PC_STOREY","0.132429012000514","0.231662677494105","0.322877539344466","0.418225036541599","0.512382759935785","0.601515521557617","0.69488763671512","0.804483563995615","0.908279061265445"
"QUAD","0.162327517937321","0.256118235395497","0.345734414376965","0.43597720857709","0.531743770691373","0.615509006930045","0.706487945786068","0.813046501857389","0.916171715873563"
"PC_ZZD","0.240650858173805","0.326416320550624","0.410527211726072","0.494579339911482","0.579226048873097","0.655642293386343","0.739833235612742","0.831263765316234","0.921253650128989"
"QUAD_STOREY","0.128754174143019","0.227589568125556","0.318017740051702","0.411877120862924","0.509958181737047","0.598460299260417","0.691632334413391","0.805447877965298","0.913942108445991"
"STOREY","0.139","0.2386","0.3438","0.4342","0.5224","0.621","0.7126","0.7894","0.8948"
"PC","0.239101511174303","0.330925385133839","0.416394271383589","0.502289088933617","0.581557718597776","0.660738247898658","0.748860567308865","0.820180341192127","0.910078106629201"
"PC_STOREY","0.13365884875561","0.234881294160029","0.337571873560319","0.430218888303295","0.518989466178118","0.616481923702562","0.712599197087403","0.783390533920927","0.894815175182505"
"QUAD","0.160906292557965","0.261182719109137","0.356311442017774","0.449478671076151","0.535874985370765","0.626640716262592","0.722355690480928","0.792004985636967","0.901035354261538"
"PC_ZZD","0.239466752149742","0.331507881395066","0.417178987029683","0.503277031718034","0.582733210959978","0.662101081393187","0.750431898211118","0.821920414679388","0.912030878229485"
"QUAD_STOREY","0.12904299942136","0.23153838208859","0.332418920664632","0.426487922919391","0.51630157571604","0.612861113182982","0.712268108303007","0.777197724705232","0.895371431335759"
"STOREY","0.1348","0.24","0.3348","0.4358","0.5152","0.6172","0.7152","0.7958","0.9144"
"PC","0.234068741657577","0.327757687976535","0.413662254769641","0.499853704099103","0.574265568770858","0.665490845311618","0.747446292326155","0.824493718890949","0.919631440189683"
"PC_STOREY","0.129103236377376","0.233800295016344","0.332669703778046","0.432838332878361","0.511572134086294","0.618029917006101","0.713256961172719","0.791944817694405","0.915854313639044"
"QUAD","0.156522642614864","0.256891348548019","0.355680198433158","0.449797375585779","0.529073077441241","0.633996838608044","0.721360122962091","0.800745117721574","0.91618014560536"
"PC_ZZD","0.234422075100339","0.328332689466288","0.414440506464426","0.500835884763001","0.57542380790657","0.666864923451625","0.749014277053799","0.826243997829845","0.921606814977172"
"QUAD_STOREY","0.124051913098438","0.228240459093637","0.331138052707899","0.430220957295067","0.508275425240029","0.618856316149535","0.711594567459728","0.788755794219046","0.91713868107652"
"STOREY","0.1316","0.2418","0.3466","0.4388","0.516","0.6288","0.7238","0.81","0.9156"
"PC","0.232957623270673","0.332220784659745","0.420129317131152","0.503047336428246","0.574490188598352","0.668816060009723","0.750707446212705","0.825989349968544","0.919376341102977"
"PC_STOREY","0.123658428679072","0.23814400824787","0.340957374236735","0.436750560074013","0.512383205534751","0.626061211472137","0.721049564097894","0.806464322450196","0.912320845799023"
"QUAD","0.151299553812912","0.263392577265067","0.359207732267249","0.455137371523773","0.528009998582139","0.635278730898954","0.727513387462871","0.807399092672088","0.909824291013636"
"PC_ZZD","0.233308327807331","0.33280634583625","0.420922869895484","0.504037073226236","0.575648959184575","0.670198005607706","0.752283146830445","0.827743167570569","0.921351112326026"
"QUAD_STOREY","0.116721607356112","0.234769464008878","0.33561510133221","0.435405908014655","0.509077543144718","0.623541691384879","0.719354992932018","0.802379913949897","0.908778617757981"
"STOREY","0.1456","0.2334","0.3474","0.4172","0.5194","0.594","0.7238","0.8106","0.885"
"PC","0.243880188350444","0.320466894239515","0.420455696530319","0.491207330155616","0.578009787103205","0.650083710894369","0.755062749013575","0.824196583856676","0.905760338128965"
"PC_STOREY","0.138452361354285","0.226939332604553","0.342573946779284","0.411733877410613","0.517011419700804","0.592468694680972","0.721733035324124","0.806575936202088","0.885164220576931"
"QUAD","0.16484289612848","0.249135347929303","0.361733297101269","0.434079909615468","0.534196676711332","0.610593749878732","0.729533187622192","0.805849911995013","0.893618920159425"
"PC_ZZD","0.244256735676082","0.321024645711285","0.42125002150831","0.492169053498764","0.579176885059491","0.651421335754345","0.756648754277741","0.825946159774081","0.907702893888979"
"QUAD_STOREY","0.132001722512402","0.220846708012379","0.338509557237546","0.407118169172751","0.514296289458291","0.591200883043635","0.720493340907361","0.802888503771823","0.885573619499713"
"STOREY","0.1354","0.2386","0.3258","0.4074","0.545","0.6022","0.7062","0.8074","0.906"
"PC","0.234464945073116","0.324410338582103","0.400409580237168","0.485891999327051","0.59306877869629","0.651750263257175","0.741261598672216","0.822511243803007","0.918814171691379"
"PC_STOREY","0.127204111457473","0.233463973189773","0.31772494868425","0.402897756497845","0.540566184442102","0.598389008563027","0.702299216025014","0.802090698511876","0.908813981282952"
"QUAD","0.152980415999728","0.255363791100357","0.336358517013192","0.426602584459156","0.552118869481355","0.613148165750537","0.711359906446578","0.802613487930314","0.913995158267146"
"PC_ZZD","0.234819215933159","0.324977420243189","0.401156476104009","0.486841146597459","0.594271506226685","0.653091831180041","0.742814950414674","0.824256832205845","0.9207876128216"
"QUAD_STOREY","0.119941179243908","0.22857758616294","0.310323941037095","0.398913847282702","0.536890970458349","0.595658248922143","0.698612175025049","0.797246758132555","0.911468898928565"
"STOREY","0.143","0.2322","0.3388","0.437","0.5528","0.6146","0.7088","0.8226","0.8842"
"PC","0.240944798992231","0.324720677970926","0.413514590056501","0.499019725753299","0.596318782618618","0.660603206241048","0.744549387845229","0.837491658327099","0.901439203927803"
"PC_STOREY","0.137061042628635","0.228838230620414","0.334386422658929","0.433812273763897","0.550006167539323","0.612419512021564","0.706884241132764","0.818076250031561","0.88595208146489"
"QUAD","0.163428188413079","0.255412338731644","0.354941890663388","0.449748393308567","0.559103900233328","0.626046336075773","0.717525992242796","0.819626491649243","0.891543427922783"
"PC_ZZD","0.241314401186646","0.325288493895005","0.414292492376575","0.499999933224431","0.597529199658294","0.661965720227014","0.746110518496871","0.839272690390701","0.903371535884297"
"QUAD_STOREY","0.132077411432428","0.226035688461253","0.330684373712673","0.431172207906243","0.547696999457995","0.611098146485816","0.705083257981918","0.81378650405116","0.887632722385363"
"STOREY","0.1428","0.2364","0.323","0.421","0.52","0.6146","0.6998","0.8144","0.9042"
"PC","0.244136245204645","0.325170638429679","0.410089341037331","0.48737121077407","0.575918977896397","0.661080414887728","0.738176019291438","0.832469781963956","0.912135108030794"
"PC_STOREY","0.136576520400033","0.230381645337595","0.321508052035941","0.419181844110946","0.513400347740309","0.612360391175657","0.696384681462776","0.810716810598138","0.899672550269325"
"QUAD","0.164593812512392","0.254324756698614","0.347819674401598","0.437941369307316","0.527189775451985","0.625003414678737","0.707213791293442","0.813932501302047","0.898889097597727"
"PC_ZZD","0.244513398360799","0.325739518960204","0.410859139218225","0.488323857858761","0.5770811289981","0.662444057949352","0.739722070553082","0.834238932268083","0.914092746496395"
"QUAD_STOREY","0.131118702175592","0.22511129289704","0.320160854063628","0.417826767083215","0.50695940337177","0.610045943035091","0.693073699155149","0.807914540851881","0.894718747367489"
"STOREY","0.1374","0.235","0.3254","0.4356","0.5326","0.5996","0.7222","0.817","0.8974"
"PC","0.236055311721663","0.320482853570498","0.408712591040561","0.497311464068164","0.58579412865729","0.651733816494705","0.756611390455671","0.834814771005084","0.917712591953322"
"PC_STOREY","0.131036300289577","0.228689713747907","0.320011860108199","0.431627619098718","0.525549747081612","0.595959268973523","0.721462689060568","0.814584648178549","0.900824921060457"
"QUAD","0.157292195603039","0.251232625035044","0.343656566600655","0.447034130368135","0.538467243786763","0.611701790156571","0.73169900217101","0.817235194290175","0.91044445487074"
"PC_ZZD","0.236413345389197","0.321040642802046","0.409479131830963","0.498287629792149","0.586979644365693","0.653075345504531","0.758201059805489","0.836589469553282","0.919683426745883"
"QUAD_STOREY","0.125340770602613","0.222902727959344","0.315233713266956","0.428017000686923","0.519201820736982","0.592623988295752","0.720982510147589","0.812274850295326","0.904413369068301"
"STOREY","0.1296","0.2346","0.3324","0.438","0.5084","0.632","0.7102","0.8454","0.9188"
"PC","0.231085387305322","0.323667914198101","0.417667467870646","0.498253797510289","0.570815993226889","0.667458372411429","0.745672990136092","0.856550217844093","0.921678808909513"
"PC_STOREY","0.121262405449941","0.230422834111221","0.329199266832128","0.432261215247638","0.510326244750017","0.630412481101522","0.707304041699993","0.847298641720227","0.917252042462438"
"QUAD","0.148592120381793","0.255287041108193","0.355341450652472","0.446071783127869","0.53039390589091","0.637352708141147","0.716441594908641","0.849031086672585","0.91678803291733"
"PC_ZZD","0.231431662131687","0.324233239283094","0.418455195899628","0.499232192795199","0.571966070666864","0.668837105720554","0.747236779230754","0.858376342459512","0.923659027771393"
"QUAD_STOREY","0.113742000697577","0.226563193308733","0.326595407540147","0.427505026088502","0.512531378456826","0.628861307985147","0.70430028763961","0.84835343586172","0.915959543127316"
"STOREY","0.1348","0.238","0.338","0.422","0.5222","0.6262","0.7114","0.8114","0.9068"
"PC","0.236432056496255","0.324738540938311","0.414310079112438","0.493949150507717","0.581256711630577","0.6693922702351","0.749545402896476","0.833408177299961","0.916639390619542"
"PC_STOREY","0.12954709026827","0.22911213620908","0.334467072238724","0.419155565911342","0.51919333337391","0.622058265496474","0.710529394359714","0.812809003079058","0.907309643464038"
"QUAD","0.15813932742223","0.250754377972095","0.355336054913549","0.441177948559513","0.537062463307007","0.632408872516632","0.723172562263768","0.81962974937684","0.910648795024798"
"PC_ZZD","0.236790981541925","0.325306399126171","0.415089863559618","0.494917360997819","0.582431491810296","0.670775579146476","0.751118354119729","0.835179547847453","0.918607686217748"
"QUAD_STOREY","0.12493238249152","0.220928550389782","0.331299162033973","0.416481383854212","0.516587599281179","0.618108837133131","0.710426404440533","0.813993301657007","0.908332864962128"
"STOREY","0.13","0.2348","0.3326","0.4376","0.5308","0.6318","0.694","0.8174","0.9138"
"PC","0.230427233305843","0.327907344406948","0.412258350368265","0.498084165617036","0.583844050008906","0.671433392127022","0.731392685875421","0.840558227629401","0.922140271506443"
"PC_STOREY","0.122839815444553","0.227076137822992","0.328543571270807","0.430711952673114","0.527277399002978","0.630286270290332","0.691660513312091","0.817093449095587","0.912138878837982"
"QUAD","0.149877577360102","0.253890143407694","0.350470133413188","0.445131139739964","0.540720946086086","0.640100225467715","0.702829288670298","0.824947580223438","0.915044134370983"
"PC_ZZD","0.230771950939845","0.328482699983814","0.413033280425236","0.499062159552886","0.585024951831227","0.672821530332795","0.732922687770203","0.842346515195973","0.924121582188828"
"QUAD_STOREY","0.116411050467258","0.220268932295083","0.324877934098559","0.424503252959599","0.523740107726148","0.629288330768689","0.690239651309329","0.816699604934874","0.910951167384409"
"STOREY","0.1494","0.2422","0.3334","0.4302","0.5154","0.6244","0.7148","0.8176","0.895"
"PC","0.248607580982058","0.331086193956109","0.409315266122643","0.490281617658444","0.574071023275641","0.661790665099214","0.752252949830983","0.840293400519726","0.91324064993291"
"PC_STOREY","0.143729257831862","0.23737837135942","0.326112143986753","0.423185255084824","0.511298077860594","0.616013375029615","0.714560683832","0.816072439713613","0.893748946436253"
"QUAD","0.170778781360986","0.261219101791073","0.345758696184102","0.43676687113751","0.52731790388555","0.623240883176837","0.727481667310034","0.824074313619942","0.900700690697784"
"PC_ZZD","0.248995313318662","0.33166907069101","0.41008323284229","0.491241150765824","0.575228802116711","0.663155988612839","0.753832307110283","0.842081061505356","0.915200904110651"
"QUAD_STOREY","0.138523022113018","0.23308804058583","0.319562820193166","0.416908490270475","0.507553360612825","0.60818241273171","0.715005435629243","0.815028792271606","0.892643699681802"
"STOREY","0.142","0.2416","0.3336","0.437","0.5336","0.6088","0.716","0.814","0.9334"
"PC","0.241703006334914","0.325710382216801","0.410722541951071","0.498673749000716","0.585846497937262","0.656664480510321","0.749350685808561","0.832971193051268","0.931762305649544"
"PC_STOREY","0.136995359797016","0.236917508743752","0.327608909799159","0.433317888734835","0.530005452322952","0.605366916217141","0.712486514779839","0.812534402285035","0.932729932895403"
"QUAD","0.165161317032231","0.258697721529297","0.348181041684685","0.449130208547159","0.544009663559507","0.619370574748302","0.721963049989633","0.817650060972344","0.929524642131056"
"PC_ZZD","0.242074402447903","0.326280539781126","0.411493838285327","0.499653137890852","0.587032137551382","0.658017675471209","0.750923176331184","0.834741529694028","0.933766382064711"
"QUAD_STOREY","0.132915778529707","0.232429986626363","0.322342341959788","0.429930669832764","0.527059369091771","0.602927713201889","0.709530075742765","0.811088886400683","0.931705770147074"
"STOREY","0.138","0.2342","0.3204","0.4068","0.5298","0.6192","0.7112","0.8156","0.8902"
"PC","0.240248441363747","0.325616195748407","0.403242924015238","0.482871968766565","0.576146462052231","0.664240719534414","0.74465515524648","0.837122782599026","0.904403728445593"
"PC_STOREY","0.132257429990685","0.229634859160454","0.314254529516443","0.403822273320987","0.525870393429576","0.621582216971286","0.707479388652713","0.815286334174394","0.889331602976045"
"QUAD","0.160088984919546","0.255179926568157","0.337144854596006","0.426639386647503","0.535306173710535","0.633948050985968","0.71577143103009","0.8215649756251","0.893092377114785"
"PC_ZZD","0.240616395976014","0.326186130467547","0.403996523573458","0.483813970644667","0.577309151381447","0.665611839876832","0.746216536143793","0.838902941902656","0.906343074467095"
"QUAD_STOREY","0.127088918425987","0.225569349880117","0.308939258124066","0.40136960729167","0.522045575765702","0.623581944007058","0.704311900309219","0.814830388379447","0.888447487472439"
"STOREY","0.1406","0.2314","0.351","0.4328","0.5376","0.62","0.7054","0.8004","0.8904"
"PC","0.240810922387707","0.325390367738744","0.418096948000916","0.497083472051198","0.591561033788208","0.664379960029645","0.741012674152454","0.82341062864006","0.913550516510074"
"PC_STOREY","0.132668985442631","0.227343779846434","0.343184384704649","0.428389405598544","0.534983571511485","0.620855527091298","0.705471350991789","0.798286478453543","0.891125633671241"
"QUAD","0.158867044562665","0.254363367352221","0.35848956192245","0.444954809626574","0.551048879103449","0.633654366064992","0.716709847608191","0.804117145101213","0.901174175786818"
"PC_ZZD","0.241180207830077","0.325959768148814","0.418885692179886","0.498059098346071","0.592760193994151","0.665751409815075","0.742565436939499","0.825158344987423","0.915511503832137"
"QUAD_STOREY","0.125585056366642","0.223535902539807","0.336157353905539","0.424775119845919","0.532996719420194","0.622266848839865","0.705876833589652","0.796290297821645","0.891861184388652"
"STOREY","0.1362","0.2442","0.34","0.4196","0.5264","0.6108","0.7286","0.8088","0.8962"
"PC","0.237297992992992","0.334914371712242","0.417179241037833","0.486745502971568","0.587381632704576","0.655370033984228","0.758943261319434","0.832622228363253","0.913348041214154"
"PC_STOREY","0.131909493912901","0.238834700683551","0.337834767169287","0.412406562216077","0.528509356213963","0.608773119905856","0.726884016466305","0.810670016384612","0.897147420973336"
"QUAD","0.160210097638253","0.264063057489792","0.360027689744465","0.428775288443978","0.54809780995651","0.621533603863859","0.735035866879603","0.817027626630577","0.903973204150879"
"PC_ZZD","0.237658966844414","0.335506305915714","0.417965813922129","0.487696669631598","0.588570904447555","0.656720166284634","0.760538447875716","0.83439173935556","0.915308549479666"
"QUAD_STOREY","0.12801287532862","0.234230879179581","0.335792847431741","0.405742144658381","0.530676710281576","0.607156345158881","0.725416915981469","0.811851514653673","0.897990680668756"
"STOREY","0.1422","0.2318","0.3356","0.4326","0.5222","0.6132","0.7258","0.81","0.8916"
"PC","0.241148889494774","0.319034196656236","0.409977280081342","0.497029890126211","0.578827167744476","0.657339566329029","0.759201797176249","0.832307766172206","0.905872315930215"
"PC_STOREY","0.135616539815393","0.224237874156318","0.331409075010916","0.428112059242243","0.521609564524977","0.611026329961231","0.729232636437237","0.80554780320439","0.890411572095623"
"QUAD","0.162354985369114","0.246891404400881","0.351180233674887","0.444645447744293","0.537563498931594","0.623201503579","0.740202676020648","0.811217882351086","0.894361783293845"
"PC_ZZD","0.241518974567319","0.319588558365524","0.410746813126014","0.49800538964625","0.579996199623359","0.658694358542964","0.760797595428368","0.83407653314697","0.907815136629706"
"QUAD_STOREY","0.129892977087423","0.217440453350147","0.327822247433744","0.423951186670636","0.52159889725008","0.609653215554378","0.732118434604105","0.801770645230037","0.888976223281717"
"STOREY","0.1404","0.2374","0.3288","0.4274","0.503","0.6286","0.7344","0.7844","0.902"
"PC","0.240675362723793","0.328585762124467","0.408040463044779","0.495237872250242","0.568581063421297","0.660673356922785","0.757656118698904","0.817073775621511","0.912781239798134"
"PC_STOREY","0.133677513177455","0.231898895034628","0.324479262634505","0.423160273167087","0.50057270623126","0.623178339197169","0.732573433272921","0.78320276474326","0.904309716147299"
"QUAD","0.160659950043211","0.257835921349434","0.345863805623009","0.441411147359495","0.520920302486537","0.628317087486714","0.735662762388395","0.793977450755728","0.906367693881005"
"PC_ZZD","0.241044327431998","0.329162722837654","0.408805413580343","0.496209131855986","0.569725853017352","0.662036036885264","0.759248259875745","0.818806498974632","0.914740407011497"
"QUAD_STOREY","0.127635406761415","0.227329581953645","0.320937681493737","0.418994486414001","0.498266616136952","0.618398237249715","0.731076251752342","0.782620546959064","0.90582169168215"
"STOREY","0.1398","0.2298","0.3402","0.4482","0.528","0.6242","0.6886","0.812","0.902"
"PC","0.241806946128439","0.322119077428915","0.412679654690925","0.507193058821008","0.58107994045732","0.669284561438129","0.735839275986432","0.832337568602722","0.909770596953908"
"PC_STOREY","0.13200846442509","0.224621415249052","0.332656398866788","0.441714446441749","0.525160382400042","0.622969179328622","0.688786688837408","0.807164152631289","0.900765790224881"
"QUAD","0.159463038881139","0.250596166471192","0.349922040230952","0.455764702887765","0.53950611103989","0.636351677352961","0.705495011818025","0.811549124192193","0.900287202243009"
"PC_ZZD","0.242178588162979","0.322680737966112","0.413455581553924","0.508192604398178","0.582254302396442","0.670667615510491","0.737379798513416","0.834106406090036","0.911722640986301"
"QUAD_STOREY","0.125138107380036","0.220282507594335","0.326199986989558","0.435828522804716","0.52308750734622","0.622294828709076","0.689022246330119","0.803068908801234","0.899309061977304"
"STOREY","0.1382","0.2204","0.3234","0.4312","0.5242","0.6328","0.7058","0.8092","0.9072"
"PC","0.241723961088402","0.31665019404985","0.407694794625936","0.496618066200016","0.576282938158158","0.670393826945596","0.742393596901933","0.832071588146584","0.914494310514438"
"PC_STOREY","0.131476958100465","0.214673716629118","0.321040893733553","0.427149920558441","0.522226208035893","0.629340983798777","0.706243407697508","0.806436256834517","0.906257454430078"
"QUAD","0.160363813595567","0.24260779470977","0.34625709420997","0.444919186455013","0.535205516219177","0.637886798188477","0.716879969965896","0.812771628634721","0.906776089057667"
"PC_ZZD","0.242095406780337","0.317198915208972","0.408458927310021","0.497592591344645","0.57744595038984","0.671779505540149","0.743949626952203","0.833839796324139","0.916457530853115"
"QUAD_STOREY","0.125326029842556","0.209656958065435","0.318518850487536","0.423710789995245","0.520353901190665","0.626284258397117","0.706750850902638","0.803944406657517","0.905225714224839"
"STOREY","0.1398","0.2298","0.3318","0.4306","0.5308","0.606","0.719","0.796","0.8986"
"PC","0.240083414866333","0.321562512733704","0.411252586179139","0.497757203261284","0.584034808813765","0.658000393231148","0.747266902192778","0.823482284275499","0.915485555774835"
"PC_STOREY","0.132317760504643","0.225482777056003","0.331856066940927","0.425870032385556","0.526914702897017","0.603661123788381","0.714132345662764","0.796666218539997","0.897389757552933"
"QUAD","0.159572379726358","0.251531499083408","0.354862616260644","0.443775949114511","0.541780182974711","0.620350127725668","0.71995786164499","0.805769122039707","0.901656385885356"
"PC_ZZD","0.240450979025907","0.322122856438832","0.412025136598038","0.4987344236042","0.585216161971419","0.659356748961533","0.748834462483366","0.825230170160094","0.917451121399798"
"QUAD_STOREY","0.125236898186474","0.221838331037327","0.332129726201557","0.421329605533465","0.523849923264344","0.601977223147806","0.710068034614306","0.797398852556344","0.89544944096224"
"STOREY","0.1406","0.2292","0.3318","0.4328","0.5332","0.6164","0.698","0.8058","0.9074"
"PC","0.240528897051423","0.324492687046379","0.410282006203115","0.501018584264143","0.581450939907118","0.662444357061534","0.736032417811898","0.831153186369101","0.91989052185204"
"PC_STOREY","0.133404913060499","0.225335577544578","0.327825767567912","0.431194272165064","0.526498516937237","0.618682800382081","0.697077909784863","0.80897580567614","0.905415267126641"
"QUAD","0.160425450729005","0.253687549827934","0.350008871465466","0.451305569084751","0.537138850448856","0.633062019317305","0.708499432754354","0.817823248977278","0.910272150597073"
"PC_ZZD","0.240897515221847","0.325059963543931","0.411052260229792","0.502003521034512","0.582626179630938","0.663811227210342","0.737573397312441","0.83291922160805","0.921866509626742"
"QUAD_STOREY","0.126941393252413","0.221889691365351","0.324308619534335","0.430170184964006","0.521195168360505","0.621361132620572","0.696077168174412","0.81178937006661","0.904207377944447"
"STOREY","0.1392","0.2434","0.341","0.4184","0.5316","0.6186","0.6992","0.8096","0.898"
"PC","0.24441400618552","0.325266205541887","0.417135039515873","0.486858394432485","0.583043139688418","0.659700804737869","0.741271547219638","0.831083410668035","0.907508644242327"
"PC_STOREY","0.132753412516857","0.235901331881092","0.339809477001233","0.414782238290287","0.525899862184006","0.612579409952275","0.697264204679275","0.809100600616637","0.898884194625621"
"QUAD","0.162442922046069","0.255407572226576","0.361219718579309","0.433794560984143","0.539047479375383","0.621571879179182","0.710714915517887","0.814826913478894","0.900769069863827"
"PC_ZZD","0.244791816524155","0.325835312184199","0.417921507819367","0.487809828193713","0.584222146556921","0.661061183641878","0.74282492250036","0.832849280817675","0.909455336494604"
