"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"STOREY","0.6756","0.6982","0.7298","0.757","0.8076","0.8566","0.8776","0.9346","0.9738"
"PC_DM","0.764758166901996","0.780947551965944","0.806503578144048","0.826960039584691","0.862859345439409","0.894175369108107","0.914257255824834","0.948256326886424","0.97069445494439"
"HYB_PC_STO","0.646730693710505","0.671794262379255","0.706654674506761","0.740100173751004","0.793610992213687","0.845026651445788","0.869471542087293","0.926014395498942","0.969979051853498"
"PC_QUAD","0.673355225324598","0.696781782830106","0.731230908371852","0.763008768165377","0.811819101540996","0.855945486745977","0.88229685658208","0.928829235385597","0.964202434084061"
"PC_ZZD","0.766367111524887","0.782594800673896","0.808211292409937","0.828716153838349","0.864700397450719","0.896090514831417","0.916219915292116","0.950299428155837","0.972790644824789"
"HYB_Quad_Storey","0.619697696964556","0.646959820723834","0.684978594674517","0.724174903803306","0.780832644285673","0.834620217257933","0.86189169900156","0.919143500451284","0.966446407020633"
"STOREY","0.6542","0.6902","0.7172","0.7594","0.7852","0.8468","0.8788","0.9248","0.9698"
"PC_DM","0.747618052406808","0.779836534621758","0.801606611951764","0.830351237036347","0.848321293225334","0.882537723215288","0.914216566723203","0.946242491018279","0.978398072683444"
"HYB_PC_STO","0.625848621682445","0.664620146792599","0.697242624221959","0.740932955669474","0.770257724822699","0.833325900680149","0.867692670151075","0.921664079239928","0.966653952843808"
"PC_QUAD","0.652814474959798","0.693153198744473","0.725741812625284","0.765255253621995","0.791123475859149","0.840807307784482","0.87834247760365","0.929053137964769","0.969413156818816"
"PC_ZZD","0.749186443518803","0.781481154662673","0.803302739995642","0.832115374863175","0.850127948205105","0.884425334268415","0.916179129920071","0.948280827552028","0.980512489323414"
"HYB_Quad_Storey","0.5988603617024","0.6405971277856","0.678115916615554","0.72361440892119","0.755772908524971","0.820163553791085","0.857203025374113","0.918700890254088","0.963611825554405"
"STOREY","0.668","0.7022","0.7346","0.7744","0.8182","0.844","0.8864","0.9362","0.948"
"PC_DM","0.758517614954005","0.781129580282705","0.807591042579939","0.836056352317073","0.865986521917345","0.892937672873487","0.91625269336461","0.95381830018766","0.965043673576076"
