"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"STOREY","0.2208","0.3176","0.383","0.5028","0.5634","0.6602","0.7456","0.8332","0.9076"
"PC","0.358442432818889","0.433469376067292","0.491145638212358","0.58506777236556","0.644271050803814","0.720149222531515","0.793864007551096","0.860600049626244","0.922375357107064"
"PC_STOREY","0.204988218232699","0.302511875372266","0.370523029685274","0.491920965966268","0.556135357618901","0.655520540060707","0.742397064043004","0.829039019712068","0.902275923619361"
"QUAD","0.245793769498287","0.335048985870481","0.402313621552014","0.513354506471594","0.580870282635026","0.674307255695088","0.758747572567055","0.835934080155517","0.904953704618417"
"PC_ZZD","0.359090034414938","0.434294491411067","0.492107215592369","0.586251569514977","0.645594922910016","0.721652622392025","0.795541816592962","0.862435756143659","0.92435722400198"
"QUAD_STOREY","0.19086215058261","0.289107215038094","0.359570422204329","0.482064352812634","0.549252039291786","0.651999359228193","0.739521390742009","0.825657211608819","0.896363660852585"
"STOREY","0.2186","0.3084","0.398","0.4854","0.5686","0.6586","0.7284","0.8196","0.882"
"PC","0.358690068796121","0.428419359992562","0.508929116678039","0.577014731605959","0.642635163225095","0.715475986668985","0.778668622636532","0.852799249403266","0.912398855674302"
"PC_STOREY","0.202258325534175","0.294324441912532","0.388610113531857","0.476105344041049","0.558916685229361","0.648778665441998","0.723217972348973","0.814059003426923","0.885569444924256"
"QUAD","0.244044143947094","0.329647860419474","0.423861122967721","0.503450107002157","0.58096567214762","0.664717014648","0.738754575663875","0.823971986166948","0.898282231995772"
"PC_ZZD","0.359338256298893","0.429232526998304","0.509932769768099","0.578179475260938","0.643955164821285","0.716968329653444","0.78031047939769","0.854616499227354","0.914357118166827"
"QUAD_STOREY","0.187521227785387","0.281455177510321","0.379776788447856","0.467346184745547","0.550672220426961","0.640170461398165","0.718463196945259","0.809178492105607","0.88917275591177"
"STOREY","0.2138","0.3048","0.3918","0.4684","0.5658","0.667","0.7472","0.82","0.92"
"PC","0.355160722074472","0.432860532113836","0.500926673203434","0.564727257437196","0.643025134088208","0.721441653750698","0.787186137388078","0.852068260097248","0.929647420111861"
"PC_STOREY","0.198673226100493","0.29286389773644","0.380647004373959","0.458466306325901","0.557229410954898","0.660061058480884","0.740480978204524","0.816332473141379","0.915980024779643"
"QUAD","0.241858434057816","0.334025758206769","0.414293312217281","0.487845117054766","0.580655781324416","0.674870813417259","0.750256511799927","0.825979515256085","0.916532028382833"
"PC_ZZD","0.3558005591429","0.433684206932818","0.501911392512234","0.565862928928293","0.644346058355461","0.722948111503472","0.788848146589138","0.853883780400638","0.931646492707846"
"QUAD_STOREY","0.184934675018422","0.282215029676546","0.371324147137003","0.449322379582698","0.549315511552055","0.653427567569514","0.733502862020492","0.812749381069145","0.911617741930819"
"STOREY","0.2118","0.3136","0.389","0.4854","0.5624","0.6452","0.7564","0.8414","0.915"
"PC","0.350080074783568","0.438291289388432","0.500579390283974","0.574181415739704","0.640130131651512","0.707839871916384","0.792432000542824","0.866895394912029","0.932087823974083"
"PC_STOREY","0.197663984347242","0.300215881201193","0.376084839009748","0.475776651553774","0.552595503313767","0.638220888373458","0.752101438794052","0.84007914465703","0.912969272695274"
"QUAD","0.239229647262264","0.337988328612044","0.411048705942092","0.503064423157247","0.576064027110864","0.657735344392845","0.760518443692925","0.8465945721439","0.919310739875992"
"PC_ZZD","0.350707891040506","0.439127813379125","0.501563287921386","0.575339455769344","0.641444206342999","0.709314147853339","0.794106421456108","0.868745996216391","0.934092670565606"
"QUAD_STOREY","0.185033251348388","0.288033703356674","0.364522540756303","0.467543656933445","0.543979013924752","0.632212380267779","0.748094439813583","0.838087706013488","0.911590613325765"
"STOREY","0.2174","0.3036","0.3896","0.5064","0.5658","0.6674","0.7502","0.8366","0.9216"
"PC","0.355427719858562","0.426831784505629","0.502490275217783","0.591537535530104","0.64419400028544","0.720591740505556","0.794190091619614","0.866065353521924","0.932351435159002"
"PC_STOREY","0.203817127047188","0.290495226102282","0.381324620330855","0.501669035559892","0.555817267829349","0.662305095406072","0.750559789194954","0.834740452626022","0.921677648990673"
"QUAD","0.245052413619756","0.32793240633685","0.416497337292241","0.527801065966659","0.578960157084365","0.676781914685649","0.764875148609585","0.843560834982071","0.92486493310792"
"PC_ZZD","0.356068188643747","0.427641195307769","0.503478694008948","0.592736640139168","0.645517690090115","0.722096187363592","0.795868672176386","0.867913990948357","0.934356905454588"
"QUAD_STOREY","0.191711321127841","0.279005752301755","0.373677724587998","0.497587605965267","0.54660633382402","0.657706834960671","0.75102395152828","0.832857417940696","0.922051239145487"
"STOREY","0.211","0.31","0.3958","0.483","0.5846","0.656","0.743","0.8372","0.9146"
"PC","0.355697866317056","0.434737557685341","0.503677007666407","0.580585330700539","0.657011260110732","0.717002530037689","0.782134840176915","0.861746958740881","0.92771496302197"
"PC_STOREY","0.19459657081206","0.293304964114166","0.384197148198059","0.475475247571116","0.578142811000963","0.650504629092459","0.732784386998966","0.832951955317905","0.915351592563654"
"QUAD","0.2394779423047","0.331127049354333","0.41646963580787","0.50686173385784","0.599861705077231","0.66833070275767","0.741588227938658","0.839216186996232","0.919710473210296"
"PC_ZZD","0.356338974268762","0.435565673546824","0.504668234266546","0.581758522392977","0.658365275552154","0.718498484823758","0.783784898008774","0.863585378845262","0.92970946342448"
"QUAD_STOREY","0.17977074903607","0.278031227065289","0.373713116650072","0.468553552508487","0.572480787105185","0.64514812139878","0.723920138481125","0.829682417532413","0.916937220992872"
"STOREY","0.2332","0.3048","0.3918","0.4832","0.5596","0.663","0.739","0.8162","0.915"
"PC","0.369562031276619","0.434853599161822","0.499365677480542","0.573885184704505","0.643373788109597","0.721553544492681","0.779893253922684","0.848547436644735","0.926352107845164"
"PC_STOREY","0.218300035061792","0.294330014440474","0.379542322408902","0.472363501416467","0.552545545524371","0.654364472900953","0.734126590924388","0.808805590137133","0.910533480920763"
"QUAD","0.258888218357599","0.335280511256248","0.411580886301096","0.498613750267321","0.580622303071138","0.671870652870106","0.743667202485618","0.817777715547603","0.911914005726595"
"PC_ZZD","0.37023594184262","0.435681989577439","0.500346703473461","0.575042523851516","0.644695537292264","0.723060266978951","0.781538008161465","0.850354626679837","0.928343383732326"
"QUAD_STOREY","0.204961893111748","0.284511244267446","0.368308201068717","0.462369736928806","0.546268586980821","0.646724651243313","0.729128714557316","0.801984306646423","0.906190489626544"
"STOREY","0.2166","0.311","0.401","0.4764","0.5574","0.6514","0.7332","0.8324","0.9228"
"PC","0.355392001190035","0.432871574499511","0.501928852417991","0.573112719939198","0.637726781089414","0.71951036286713","0.784744928756147","0.857673637919668","0.938458183238611"
"PC_STOREY","0.201443488844177","0.296083003924097","0.388726167617741","0.467455761531239","0.552250493825198","0.648873811161139","0.730079926113046","0.824992508994972","0.920885335055009"
"QUAD","0.243573780731317","0.332925255434825","0.417472555816187","0.497631928900684","0.57760826026145","0.672109097264967","0.74780883225191","0.830618775797261","0.927146737191987"
"PC_ZZD","0.35603238546485","0.433695275444777","0.502915942882812","0.574268231434575","0.639035169453472","0.721012251185673","0.786401162057584","0.859502420546986","0.940478102100154"
"QUAD_STOREY","0.187972047933751","0.282654334117522","0.3775167040191","0.459405063252827","0.547156010191326","0.646975938803388","0.727657945802183","0.817963225138563","0.919759143902"
"STOREY","0.2058","0.296","0.3906","0.4808","0.5768","0.6644","0.7398","0.81","0.9268"
"PC","0.353770459341684","0.424973720985739","0.503947010700584","0.57146437777004","0.648188460878618","0.720575788230208","0.784709603872409","0.8517491589169","0.933656840635926"
"PC_STOREY","0.190362754852852","0.282553579522439","0.381323934353738","0.467010374861185","0.568987804628825","0.656297754086349","0.729965253643994","0.812313160727103","0.925027092383863"
"QUAD","0.237377981604974","0.322651520946777","0.418203610077321","0.492335280300735","0.589932101917256","0.671817225977996","0.741741009481045","0.82759952295518","0.924616229083727"
"PC_ZZD","0.354407007048487","0.425778735609592","0.504938876127901","0.572615989287844","0.649521601577057","0.722080197345161","0.786365753595172","0.853563924226898","0.935665399520871"
"QUAD_STOREY","0.176340480708295","0.270522879221515","0.373025239670711","0.454293992109205","0.562397498566534","0.649054278071477","0.721182710797827","0.813418804524572","0.923693683735433"
"STOREY","0.2166","0.2962","0.4042","0.4718","0.5766","0.6498","0.7644","0.8416","0.9138"
"PC","0.358839217429684","0.427777135610012","0.508328442770605","0.574056812087344","0.646583655860578","0.713011004890897","0.79809663262637","0.867190754999641","0.926078203247835"
"PC_STOREY","0.202228521892093","0.282994461979532","0.393931132390895","0.462233997070841","0.564977134496338","0.644179408268122","0.758251557791688","0.837590798285125","0.911926842732953"
"QUAD","0.246207621744571","0.324725138382946","0.424244156179383","0.495150222098279","0.583047642651669","0.66364200027314","0.765724199460389","0.84456622019727","0.913082378649601"
"PC_ZZD","0.359487757818123","0.428588783112865","0.5093306746662","0.575214557304743","0.647912999590344","0.714497515728469","0.799784456059164","0.86904205512597","0.92806883107672"
"QUAD_STOREY","0.189248633705907","0.270649704138996","0.384379175630889","0.453342078269073","0.554269161573127","0.639092207744395","0.752422181874019","0.833710103511518","0.910660760879043"
"STOREY","0.2162","0.29","0.3978","0.4942","0.5764","0.6432","0.7508","0.8318","0.92"
"PC","0.356199755585955","0.420078510808903","0.50620160034672","0.579273713831407","0.649882114472564","0.711445622114988","0.791903452198173","0.86319599422487","0.931455946021754"
"PC_STOREY","0.201333831773845","0.277366092117539","0.387756979401493","0.484299421035697","0.569386561799591","0.638055505002315","0.746388587539344","0.829296177310944","0.915369352598366"
"QUAD","0.244086691488329","0.318490991140831","0.420946597491285","0.508825540584369","0.590567746307103","0.659517253389344","0.757214985732972","0.840550253667792","0.917923067157742"
"PC_ZZD","0.356842051007672","0.420871943365477","0.50719880013314","0.580443802238332","0.651219262355406","0.712928429256912","0.793576622566074","0.865037842747206","0.933459297590042"
"QUAD_STOREY","0.18797669000851","0.266109969209462","0.37880314950533","0.475835561761721","0.562533869700192","0.633154239719994","0.741850937354727","0.827331610283244","0.911898208071293"
"STOREY","0.216","0.301","0.399","0.4706","0.5578","0.6564","0.7598","0.828","0.9044"
"PC","0.354966918732814","0.429792726149564","0.50333902031671","0.566979650192393","0.639452098879056","0.71804831375021","0.798065341027304","0.856725094142232","0.922655076565747"
"PC_STOREY","0.201473272378191","0.28895680165477","0.386856277072222","0.46185846683984","0.548703379776113","0.650688982751028","0.754536309270401","0.824477349752309","0.905141996209908"
"QUAD","0.244502033577861","0.329460524133344","0.417736413142011","0.491562378065171","0.574214635382387","0.669936569189792","0.764235581250957","0.832336745110207","0.910679999128782"
"PC_ZZD","0.355606297262536","0.430609142539634","0.504329447238779","0.568120650844748","0.640764569345004","0.719546742860543","0.799753090424175","0.858551632514973","0.924637605276901"
