"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"STOREY","0.1302","0.231","0.3374","0.425","0.5206","0.6274","0.699","0.8036","0.9022"
"PC_DM","0.23910928750286","0.324967870843549","0.414639608896327","0.49553817702818","0.577630049830924","0.667879331402204","0.73867844748401","0.828043867410857","0.913820301294869"
"HYB_PC_STO","0.126207856461034","0.226116395429649","0.335330899112994","0.420237583265486","0.51724859227307","0.627122597794342","0.694722478740153","0.801833483140537","0.90024255715205"
"PC_QUAD","0.158948414187849","0.253034628435739","0.356752308672528","0.440720822715113","0.532117443594204","0.637480091022467","0.706225207996949","0.808229399608654","0.902888546915417"
"PC_ZZD","0.239474546877091","0.325536271625965","0.415420173010976","0.496510147155029","0.578796249328824","0.669259060700301","0.740225687490757","0.829802546001151","0.915781926927732"
"HYB_Quad_Storey","0.122742760038162","0.221756507886979","0.333449894047592","0.416483526786854","0.513461544890545","0.627258340383664","0.691032251194303","0.799656636932692","0.8982692667344"
"STOREY","0.1384","0.2352","0.3334","0.4208","0.528","0.6158","0.707","0.812","0.9084"
"PC_DM","0.243377261869979","0.326704482294181","0.413352752173851","0.489556782939331","0.582946896379314","0.659117303622384","0.742704964400097","0.834095685852672","0.917708957809798"
"HYB_PC_STO","0.132655325663729","0.229645463338792","0.330820624496757","0.415061077513207","0.525368855988405","0.610139241939768","0.705852682728605","0.813846036646329","0.907688617801748"
"PC_QUAD","0.162882446862704","0.254772229503433","0.353950218003527","0.433404487815157","0.540965876562887","0.620758262869161","0.716915273993908","0.821419967462315","0.909228243740783"
"PC_ZZD","0.243752619271564","0.327276991899289","0.414130271585494","0.490514601087765","0.584125675536147","0.660476301962755","0.744261731145868","0.835868683045399","0.919679784003976"
"HYB_Quad_Storey","0.127885950398282","0.224636260806216","0.328546416956892","0.409604241068195","0.523214342065802","0.604874867596769","0.705357804778785","0.81608805198626","0.907080190896268"
"STOREY","0.138","0.2348","0.3378","0.435","0.527","0.6314","0.7108","0.784","0.9016"
"PC_DM","0.237363264813662","0.321637999210299","0.415908381841183","0.49760161718674","0.580389124809849","0.674751109880142","0.745153298025792","0.818095261867727","0.909804277973403"
"HYB_PC_STO","0.130983192052208","0.229715185736312","0.33400928916889","0.430952297624921","0.523017123614812","0.631737596738847","0.706743804424438","0.781452200435749","0.901343241187303"
"PC_QUAD","0.158199220052087","0.252955040313242","0.355699131138852","0.448123500372428","0.536732009677695","0.643449433375124","0.715800489724878","0.793450918396853","0.900908097864878"
"PC_ZZD","0.237724393098211","0.32219852151643","0.416691947872619","0.498578469413004","0.581561852279149","0.676147097806118","0.746715857528921","0.819830402057307","0.911756401695088"
"HYB_Quad_Storey","0.124822372695571","0.225187427001301","0.331090588419948","0.42791663072734","0.51918758151954","0.632465019897259","0.70310118927809","0.778816314340295","0.90034215789237"
"STOREY","0.1414","0.2384","0.3274","0.4382","0.5222","0.6228","0.7228","0.8104","0.9036"
"PC_DM","0.242644316928748","0.325572452390784","0.409227873559367","0.502312869214423","0.57841480836996","0.666769503729262","0.751994054677613","0.831391257994403","0.915424060052"
"HYB_PC_STO","0.137653189752361","0.232885355796275","0.322775336799322","0.435874875230882","0.517791002737371","0.621463385443854","0.720107526434945","0.808051090126389","0.901859272554406"
"PC_QUAD","0.16688933789932","0.256274033446728","0.345651348441018","0.453320191309562","0.533544722842336","0.634404848695436","0.727240254804538","0.813060910637804","0.904585573112174"
"PC_ZZD","0.243017940182601","0.32614228361314","0.409995633508209","0.503300868262984","0.579582864606563","0.668146607175085","0.75357279941098","0.833157856510818","0.917389480178083"
"HYB_Quad_Storey","0.134725387252302","0.227873207705613","0.318785684063581","0.434240934851022","0.513855406488561","0.620395108088085","0.718441226712999","0.806338228299546","0.899579472024418"
"STOREY","0.1422","0.231","0.325","0.4346","0.5206","0.6196","0.7264","0.8026","0.9172"
"PC_DM","0.244106638367928","0.322568595314859","0.404922323469094","0.501319195172914","0.580920115551792","0.659927075971191","0.755913515606308","0.826120278079988","0.919860711642396"
