"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0","0.0025","0.00285714285714286","0","0","0","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0.0199115044247788","0","0","0","0","0","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0","0","0","0.00344827586206897","0","0","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0","0","0","0","0","0","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0","0","0","0","0","0","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0","0","0","0","0","0","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0","0","0","0","0","0","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0.00223214285714286","0","0","0","0","0","0","0","0"
"PC","0","0.0025062656641604","0","0","0","0","0","0","0"
"PC_ZZD","0","0.0025062656641604","0","0","0","0","0","0","0"
"BH","0","0.0025062656641604","0","0","0","0","0","0","0"
"oracle_ABH","0","0.0025062656641604","0","0","0","0.0048780487804878","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0","0","0.00280898876404494","0","0","0","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0.0045662100456621","0","0","0","0","0","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0","0","0","0","0","0","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0","0","0","0","0","0","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0.0112359550561798","0","0","0","0","0","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0","0","0","0","0","0","0","0","0"
"PC","0","0","0","0","0.004149377593361","0","0","0","0"
"PC_ZZD","0","0","0","0","0.004149377593361","0","0","0","0"
"BH","0","0","0","0","0.004149377593361","0","0","0","0"
"oracle_ABH","0.00218340611353712","0","0","0","0.004149377593361","0","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0","0","0","0","0","0","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0","0","0.00289017341040462","0","0","0","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0","0","0.00280898876404494","0","0","0","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0.0112866817155756","0.00245700245700246","0","0","0","0","0","0","0"
"PC","0.00227272727272727","0","0","0","0","0","0","0","0"
"PC_ZZD","0.00227272727272727","0","0","0","0","0","0","0","0"
"BH","0.00227272727272727","0","0","0","0","0","0","0","0"
"oracle_ABH","0.0613636363636364","0.00510204081632653","0.00282485875706215","0","0","0","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0","0","0","0","0","0","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0.00231481481481481","0","0","0","0","0","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0","0","0","0","0","0","0","0","0"
"PC","0","0","0","0.0032258064516129","0","0","0","0","0"
"PC_ZZD","0","0","0","0.0032258064516129","0","0","0","0","0"
"BH","0","0","0","0.0032258064516129","0","0","0","0","0"
"oracle_ABH","0","0.0025","0","0.0032258064516129","0","0","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0.0240700218818381","0","0.00284900284900285","0","0","0","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0.00900900900900901","0","0","0","0","0","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0.0111358574610245","0","0","0","0","0","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0","0","0","0","0","0","0","0","0"
"PC","0","0","0","0.0068259385665529","0","0","0","0","0"
"PC_ZZD","0","0","0","0.0068259385665529","0","0","0","0","0"
"BH","0","0","0","0.0068259385665529","0","0","0","0","0"
"oracle_ABH","0","0.0025","0","0.0068259385665529","0","0.0050761421319797","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
"BH","0","0","0","0","0","0","0","0","0"
"oracle_ABH","0","0","0","0","0","0","0","0","0"
"PC","0","0","0","0","0","0","0","0","0"
"PC_ZZD","0","0","0","0","0","0","0","0","0"
