"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"PC","0.934240362811791","0.94484412470024","0.886426592797784","0.763934426229508","0.822134387351779","0.693877551020408","0.571428571428571","0.505376344086022","0.392857142857143"
"PC_ZZD","0.936507936507937","0.94484412470024","0.886426592797784","0.760655737704918","0.822134387351779","0.693877551020408","0.571428571428571","0.505376344086022","0.392857142857143"
"BH","0.743764172335601","0.743405275779377","0.717451523545706","0.590163934426229","0.703557312252964","0.591836734693878","0.506493506493506","0.43010752688172","0.392857142857143"
"oracle_ABH","0.988662131519274","0.964028776978417","0.914127423822715","0.770491803278688","0.83399209486166","0.729591836734694","0.571428571428571","0.505376344086022","0.392857142857143"
"PC","0.955456570155902","0.95","0.830769230769231","0.800664451827243","0.748","0.730232558139535","0.610738255033557","0.568181818181818","0.24390243902439"
"PC_ZZD","0.955456570155902","0.95","0.830769230769231","0.800664451827243","0.748","0.730232558139535","0.610738255033557","0.568181818181818","0.24390243902439"
"BH","0.728285077951002","0.7675","0.661538461538462","0.634551495016611","0.648","0.646511627906977","0.610738255033557","0.534090909090909","0.219512195121951"
"oracle_ABH","0.982182628062361","0.955","0.858461538461538","0.817275747508306","0.76","0.730232558139535","0.61744966442953","0.568181818181818","0.24390243902439"
"PC","0.957871396895787","0.963680387409201","0.851428571428571","0.820598006644518","0.798387096774194","0.726415094339623","0.625","0.421052631578947","0.272727272727273"
"PC_ZZD","0.9490022172949","0.963680387409201","0.851428571428571","0.820598006644518","0.798387096774194","0.726415094339623","0.618421052631579","0.421052631578947","0.272727272727273"
"BH","0.749445676274945","0.786924939467312","0.697142857142857","0.687707641196013","0.681451612903226","0.641509433962264","0.480263157894737","0.389473684210526","0.204545454545455"
"oracle_ABH","0.993348115299335","0.970944309927361","0.888571428571429","0.850498338870432","0.818548387096774","0.726415094339623","0.631578947368421","0.431578947368421","0.272727272727273"
"PC","0.951002227171492","0.939172749391727","0.895774647887324","0.836477987421384","0.747081712062257","0.702020202020202","0.445161290322581","0.482456140350877","0.595238095238095"
"PC_ZZD","0.944320712694877","0.939172749391727","0.895774647887324","0.836477987421384","0.747081712062257","0.702020202020202","0.445161290322581","0.482456140350877","0.595238095238095"
"BH","0.748329621380846","0.712895377128954","0.698591549295775","0.641509433962264","0.642023346303502","0.611111111111111","0.387096774193548","0.456140350877193","0.571428571428571"
"oracle_ABH","0.988864142538975","0.94647201946472","0.909859154929577","0.836477987421384","0.77431906614786","0.707070707070707","0.445161290322581","0.482456140350877","0.595238095238095"
"PC","0.973451327433628","0.855721393034826","0.859154929577465","0.865814696485623","0.791666666666667","0.71356783919598","0.531645569620253","0.630434782608696","0.411764705882353"
"PC_ZZD","0.960176991150443","0.855721393034826","0.859154929577465","0.865814696485623","0.791666666666667","0.71356783919598","0.531645569620253","0.630434782608696","0.411764705882353"
"BH","0.75","0.696517412935323","0.68169014084507","0.702875399361022","0.666666666666667","0.638190954773869","0.487341772151899","0.608695652173913","0.411764705882353"
