"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"STOREY","0.121832466526502","0.0628357276702061","0.0333715267831567","0.0152798538448763","0.00769542324827866","0.001998001998002","0.00136752136752137","0.00477326968973747","0.00201816347124117"
"PC","0.0712625871417506","0.0282323547782636","0.0194786594099112","0.0114598903836572","0.00648035641960308","0.001998001998002","0.00136752136752137","0.00477326968973747","0.00201816347124117"
"PC_STOREY","0.13765630187009","0.0670830730793254","0.037381839014609","0.0152798538448763","0.00769542324827866","0.00224775224775225","0.00136752136752137","0.00477326968973747","0.00201816347124117"
"QUAD","0.112316034082107","0.0544659587757651","0.030507018046405","0.0152798538448763","0.00769542324827866","0.001998001998002","0.00136752136752137","0.00477326968973747","0.00201816347124117"
"PC_ZZD","0.0709306185681089","0.0282323547782636","0.0194786594099112","0.0114598903836572","0.00648035641960308","0.001998001998002","0.00136752136752137","0.00477326968973747","0.00201816347124117"
"QUAD_STOREY","0.152484231492752","0.073579013116802","0.040819249498711","0.0167746221557881","0.00769542324827866","0.0024975024975025","0.00136752136752137","0.00477326968973747","0.00201816347124117"
"BH","0.0252296115967688","0.0101186758276077","0.00200515611572615","0.00581298787576814","0.00445524503847712","0.0014985014985015","0.00102564102564103","0.00238663484486874","0.00201816347124117"
"oracle_ABH","0.725683301980746","0.301436602123673","0.113291320538528","0.0506560372031224","0.0155933576346699","0.00724275724275724","0.00239316239316239","0.00477326968973747","0.00201816347124117"
"STOREY","0.109189668551158","0.0646883536131115","0.0367730900798176","0.010875106202209","0.00807245520771806","0.00625625625625626","0.00269814502529511","0.000505816894284269","0"
"PC","0.0534308834940694","0.0363794387881798","0.0262257696693273","0.00560747663551402","0.00767867690490254","0.00550550550550551","0.00236087689713322","0.000505816894284269","0"
"PC_STOREY","0.128256290876843","0.0708964489694562","0.0403363740022805","0.0124044180118946","0.00807245520771806","0.00625625625625626","0.00269814502529511","0.000505816894284269","0"
"QUAD","0.0963307837268595","0.0591010677924013","0.0354903078677309","0.01053525913339","0.00807245520771806","0.00600600600600601","0.00269814502529511","0.000505816894284269","0"
"PC_ZZD","0.0534308834940694","0.036131114973926","0.0260832383124287","0.00560747663551402","0.00767867690490254","0.00550550550550551","0.00236087689713322","0.000505816894284269","0"
"QUAD_STOREY","0.139674093781177","0.0803327539111001","0.0416191562143672","0.0132540356839422","0.00826934435912581","0.00625625625625626","0.00269814502529511","0.000505816894284269","0"
"BH","0.00642944241214943","0.00583560963496399","0","0.00407816482582838","0.00433156133097066","0.00425425425425425","0.00202360876897133","0.000505816894284269","0"
"oracle_ABH","0.721760336991464","0.292277129376707","0.108181299885975","0.0331350892098556","0.0153573538098051","0.00750750750750751","0.00269814502529511","0.000505816894284269","0"
"STOREY","0.124386981720909","0.0633258539017701","0.0351723159835484","0.0257740585774059","0.0103071948261924","0.0014873574615766","0.000323729362253156","0","0"
