"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"STOREY","0.993795701307334","0.942211055276382","0.897933000712758","0.846230158730159","0.781212121212121","0.68944099378882","0.629112662013958","0.513647642679901","0.366019417475728"
"PC","0.974628849988921","0.922236180904523","0.884390591589451","0.833994708994709","0.772727272727273","0.679254658385093","0.624792289797275","0.513647642679901","0.366019417475728"
"PC_STOREY","0.994128074451584","0.942713567839196","0.899073414112616","0.847056878306878","0.782222222222222","0.690931677018634","0.629777334662679","0.514640198511166","0.366019417475728"
"QUAD","0.988810104143585","0.93856783919598","0.896650035637919","0.84375","0.78","0.688447204968944","0.627783316716517","0.515632754342432","0.366019417475728"
"PC_ZZD","0.974628849988921","0.922110552763819","0.883962936564505","0.832837301587302","0.771919191919192","0.678012422360249","0.624127617148554","0.513647642679901","0.366019417475728"
"QUAD_STOREY","0.994571238643918","0.94321608040201","0.899786172487527","0.847387566137566","0.783030303030303","0.691180124223603","0.630109670987039","0.515632754342432","0.366019417475728"
"BH","0.743961887879459","0.725","0.71176051318603","0.678406084656085","0.651111111111111","0.592049689440994","0.564307078763709","0.467990074441687","0.337864077669903"
"oracle_ABH","0.994128074451584","0.949623115577889","0.902352102637206","0.844080687830688","0.784848484848485","0.691180124223603","0.630109670987039","0.516625310173697","0.366019417475728"
"STOREY","0.990439132851584","0.939944834503511","0.89484857061987","0.834553928095872","0.775675142913463","0.688700424045897","0.600465735196274","0.509368836291913","0.341846758349705"
"PC","0.972317954419122","0.919759277833501","0.880271723747523","0.821238348868176","0.765030553912872","0.684709403841357","0.592814371257485","0.505917159763314","0.339882121807466"
"PC_STOREY","0.990661478599222","0.941700100300903","0.89753750353807","0.835219707057257","0.775675142913463","0.690446495385383","0.600465735196274","0.509368836291913","0.340864440078585"
"QUAD","0.987659811006115","0.935932798395186","0.893716388338523","0.832390146471372","0.774689532820816","0.69094537291095","0.597804391217565","0.509368836291913","0.339882121807466"
"PC_ZZD","0.972317954419122","0.91950852557673","0.87970563260685","0.820905459387483","0.764242065838754","0.684709403841357","0.592149035262808","0.504930966469428","0.335952848722986"
"QUAD_STOREY","0.991106170094497","0.942953861584754","0.899377299745259","0.83638482023968","0.775478020894934","0.692442005487653","0.600465735196274","0.509368836291913","0.335952848722986"
