"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"PC","184","135","97","92","46","7","15","9","3"
"PC_ZZD","184","135","95","92","46","7","15","9","3"
"BH","76","62","46","58","35","7","13","9","3"
"oracle_ABH","429","269","171","129","67","7","19","9","3"
"PC","249","124","125","55","46","29","1","2","1"
"PC_ZZD","249","124","125","55","46","29","1","2","1"
"BH","77","48","35","13","17","21","1","2","1"
"oracle_ABH","436","285","175","88","54","38","1","2","1"
"PC","257","142","95","79","39","7","11","4","4"
"PC_ZZD","257","142","95","79","39","7","11","4","4"
"BH","114","66","34","37","10","3","0","4","4"
"oracle_ABH","442","296","167","92","61","29","12","6","4"
"PC","240","152","92","64","27","44","21","5","1"
"PC_ZZD","240","152","92","64","27","44","21","5","1"
"BH","115","84","62","24","5","15","15","4","1"
"oracle_ABH","426","270","156","102","36","46","23","12","1"
"PC","176","154","94","80","53","20","13","2","1"
"PC_ZZD","176","154","94","79","53","20","13","2","1"
"BH","71","64","45","49","30","16","12","2","1"
"oracle_ABH","414","283","160","103","68","25","16","3","1"
"PC","221","173","108","56","52","12","16","0","2"
"PC_ZZD","221","173","108","56","52","10","16","0","2"
"BH","96","88","50","45","31","5","12","0","2"
"oracle_ABH","433","282","187","84","75","14","17","1","2"
"PC","181","155","130","86","65","21","0","10","2"
"PC_ZZD","181","155","130","86","64","21","0","10","2"
"BH","74","58","54","46","28","17","0","4","2"
"oracle_ABH","413","284","181","94","82","21","3","10","2"
"PC","242","187","115","77","51","40","2","4","4"
"PC_ZZD","242","187","115","77","50","40","2","2","4"
"BH","91","83","43","37","30","22","1","1","3"
"oracle_ABH","440","284","151","102","70","40","2","4","4"
"PC","229","160","142","37","55","25","21","17","4"
"PC_ZZD","229","160","136","37","55","25","21","17","4"
"BH","54","58","61","20","34","17","15","6","1"
"oracle_ABH","429","273","198","77","63","27","23","17","4"
"PC","238","153","106","97","46","33","5","5","1"
"PC_ZZD","238","153","106","96","40","33","5","5","1"
"BH","85","61","37","55","24","11","4","3","1"
"oracle_ABH","426","262","191","125","67","41","5","5","1"
"PC","201","123","108","54","46","25","26","14","0"
"PC_ZZD","201","123","108","54","46","25","26","10","0"
"BH","53","61","40","40","30","18","18","10","0"
"oracle_ABH","432","258","153","66","49","39","30","15","0"
"PC","169","106","89","101","41","20","14","4","0"
"PC_ZZD","169","106","89","100","41","20","14","4","0"
"BH","72","41","52","57","34","9","13","4","0"
"oracle_ABH","430","241","146","113","50","33","16","4","0"
"PC","274","167","110","95","29","22","28","7","5"
"PC_ZZD","275","167","106","95","29","22","28","7","5"
"BH","127","55","61","48","24","17","24","7","5"
"oracle_ABH","445","290","194","114","43","33","35","7","5"
"PC","229","127","139","105","62","25","11","4","4"
"PC_ZZD","229","127","139","105","61","25","11","4","4"
"BH","87","73","50","52","27","21","6","4","4"
"oracle_ABH","426","248","187","127","77","27","11","4","4"
"PC","287","153","95","78","17","35","13","13","4"
"PC_ZZD","287","153","95","78","17","34","13","13","4"
"BH","99","50","31","50","4","23","13","6","3"
"oracle_ABH","433","276","158","91","44","41","21","13","4"
"PC","257","175","158","74","41","16","1","3","4"
"PC_ZZD","257","175","158","73","41","16","1","3","4"
"BH","96","72","58","46","19","14","1","2","4"
"oracle_ABH","434","288","214","110","57","21","2","6","4"
"PC","226","159","96","60","49","17","16","4","3"
"PC_ZZD","226","159","96","60","49","17","15","4","3"
"BH","86","77","62","28","29","7","10","0","3"
"oracle_ABH","435","286","162","91","60","26","16","5","3"
"PC","243","163","104","57","74","28","16","0","2"
"PC_ZZD","243","163","104","57","74","28","16","0","2"
"BH","116","59","45","28","54","23","16","0","2"
"oracle_ABH","435","264","161","100","80","33","17","0","2"
"PC","195","170","122","72","41","16","15","8","0"
"PC_ZZD","195","165","122","70","41","16","15","8","0"
"BH","53","73","65","32","18","14","9","7","0"
"oracle_ABH","428","310","187","90","47","26","16","8","0"
"PC","213","135","113","51","15","32","17","3","3"
"PC_ZZD","213","135","112","51","15","32","17","3","3"
"BH","68","72","59","38","9","22","14","1","3"
"oracle_ABH","438","268","193","74","31","40","21","3","3"
"PC","206","173","116","86","49","32","24","9","1"
"PC_ZZD","206","173","113","86","49","32","24","9","1"
"BH","85","74","61","38","34","23","8","9","1"
"oracle_ABH","413","279","191","110","61","36","25","9","1"
"PC","270","177","95","86","45","13","4","4","4"
"PC_ZZD","270","177","95","86","45","13","4","4","4"
"BH","82","93","38","31","22","8","4","3","4"
"oracle_ABH","435","256","171","102","54","20","10","4","4"
"PC","208","169","153","76","46","34","15","9","1"
"PC_ZZD","208","169","153","76","44","34","15","9","1"
"BH","88","54","68","38","3","24","7","9","1"
"oracle_ABH","426","305","204","106","76","41","16","10","1"
"PC","229","188","133","46","44","22","12","9","0"
"PC_ZZD","229","188","132","46","44","22","12","9","0"
"BH","89","85","74","31","19","4","12","9","0"
