"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"PC","473","427","383","311","233","186","150","63","27"
"PC_ZZD","462","428","383","311","233","186","150","63","27"
"BH","419","357","322","270","209","164","142","62","26"
"oracle_ABH","478","430","379","311","234","186","150","64","27"
"PC","472","406","325","289","248","179","128","86","23"
"PC_ZZD","463","406","325","289","248","179","128","86","23"
"BH","418","351","289","258","220","162","119","85","23"
"oracle_ABH","477","411","330","293","248","181","128","86","23"
"PC","464","416","364","299","225","188","142","84","33"
"PC_ZZD","458","416","364","299","225","186","142","84","33"
"BH","398","360","313","268","203","167","130","80","33"
"oracle_ABH","471","422","364","299","226","189","142","84","33"
"PC","448","410","350","286","230","154","139","82","32"
"PC_ZZD","438","410","350","286","230","154","139","82","32"
"BH","397","353","305","252","208","149","130","82","31"
"oracle_ABH","467","417","352","286","236","161","139","82","32"
"PC","454","425","351","305","230","184","128","86","28"
"PC_ZZD","443","425","351","305","230","184","128","86","28"
"BH","389","381","295","262","213","165","125","79","28"
"oracle_ABH","466","425","359","305","231","184","130","85","28"
"PC","477","399","369","288","235","167","131","72","33"
"PC_ZZD","462","400","369","288","235","167","131","72","33"
"BH","410","352","325","253","212","158","124","70","33"
"oracle_ABH","479","405","369","291","239","169","133","72","33"
"PC","480","438","382","287","226","189","128","45","38"
"PC_ZZD","467","437","382","287","226","188","128","45","38"
"BH","412","368","334","253","196","174","124","41","37"
"oracle_ABH","483","437","378","294","229","188","130","45","38"
"PC","457","398","381","296","238","165","142","63","35"
"PC_ZZD","448","398","381","296","238","165","142","63","35"
"BH","395","355","322","271","213","148","132","58","32"
"oracle_ABH","467","405","377","302","240","171","142","65","35"
"PC","474","408","357","286","245","172","126","83","42"
"PC_ZZD","462","408","357","286","245","172","126","83","42"
"BH","412","357","302","255","204","164","118","79","40"
"oracle_ABH","478","410","362","288","245","175","127","86","41"
"PC","460","409","352","302","219","169","112","80","41"
"PC_ZZD","444","409","352","302","219","169","112","80","41"
"BH","410","360","316","262","203","154","102","80","41"
"oracle_ABH","474","413","355","303","222","169","114","81","41"
"PC","459","419","366","308","224","192","133","72","50"
"PC_ZZD","450","419","366","308","224","192","133","72","50"
"BH","401","363","319","262","203","172","112","70","44"
"oracle_ABH","468","419","363","308","225","192","133","72","46"
"PC","457","407","365","286","247","175","121","73","24"
"PC_ZZD","449","407","365","286","247","175","121","73","24"
"BH","384","350","318","246","225","166","113","67","24"
"oracle_ABH","471","416","365","289","249","178","122","73","25"
"PC","452","420","349","282","258","217","147","80","32"
"PC_ZZD","450","420","349","282","258","217","147","80","32"
"BH","389","366","294","249","232","200","142","73","32"
"oracle_ABH","462","420","352","285","258","216","147","80","32"
"PC","452","419","350","288","234","187","111","78","38"
"PC_ZZD","446","419","350","288","234","187","111","75","38"
"BH","394","371","317","265","218","172","104","72","38"
"oracle_ABH","461","421","350","294","239","187","112","78","38"
"PC","468","405","353","292","234","177","135","75","35"
"PC_ZZD","460","405","353","292","234","177","135","75","35"
"BH","401","353","317","263","212","168","127","71","34"
"oracle_ABH","475","410","354","292","235","181","134","77","35"
"PC","470","412","367","287","234","188","110","84","52"
"PC_ZZD","459","413","367","287","234","188","110","84","52"
"BH","404","358","312","258","207","168","104","80","49"
"oracle_ABH","474","420","367","288","235","189","113","85","52"
"PC","473","412","329","306","275","194","132","66","40"
"PC_ZZD","468","412","329","306","274","194","132","65","40"
"BH","417","359","290","282","251","178","120","62","34"
"oracle_ABH","475","417","334","306","274","194","131","67","40"
"PC","474","427","329","329","241","192","139","73","31"
"PC_ZZD","466","427","329","329","240","192","137","73","31"
"BH","418","371","306","292","213","179","123","71","31"
"oracle_ABH","478","427","335","323","240","192","139","73","31"
"PC","459","417","345","301","241","196","126","101","30"
"PC_ZZD","454","418","345","301","241","195","124","101","30"
"BH","410","363","304","270","222","184","113","96","29"
"oracle_ABH","470","423","349","301","241","199","129","101","30"
"PC","482","413","333","304","262","196","124","85","30"
"PC_ZZD","473","413","333","304","262","196","124","85","30"
"BH","425","347","294","271","223","177","120","72","29"
"oracle_ABH","482","416","344","304","262","194","124","79","30"
"PC","465","401","380","301","216","193","137","77","30"
"PC_ZZD","455","401","380","301","216","193","137","77","30"
"BH","403","346","338","278","196","173","122","75","29"
"oracle_ABH","471","410","376","301","220","192","137","77","32"
"PC","460","397","335","281","214","179","124","79","35"
"PC_ZZD","454","397","335","281","214","179","124","79","35"
"BH","416","347","294","257","192","165","117","73","35"
"oracle_ABH","468","405","340","288","218","179","124","79","35"
"PC","456","407","353","281","203","188","120","90","34"
"PC_ZZD","448","407","353","280","203","188","120","90","34"
"BH","401","350","311","251","188","178","104","82","31"
"oracle_ABH","466","411","353","286","209","188","120","89","34"
"PC","477","416","325","267","231","182","136","98","26"
"PC_ZZD","459","416","325","267","231","182","136","98","26"
"BH","415","361","293","235","211","168","126","96","24"
"oracle_ABH","482","419","333","277","231","189","136","98","26"
"PC","458","424","366","307","237","172","139","73","36"
"PC_ZZD","445","424","366","307","237","172","139","73","36"
"BH","395","376","320","267","216","155","133","70","34"
"oracle_ABH","471","429","366","306","239","172","139","73","36"
"PC","466","416","325","287","253","187","160","79","44"
"PC_ZZD","458","416","325","287","253","186","158","79","44"
"BH","417","360","287","247","211","178","148","71","42"
"oracle_ABH","472","418","332","293","250","187","158","77","43"
"PC","464","424","314","299","239","191","124","71","26"
"PC_ZZD","455","424","314","299","239","191","124","71","26"
"BH","412","373","272","272","212","175","118","69","25"
"oracle_ABH","469","424","327","304","244","191","124","71","26"
"PC","484","411","360","293","230","172","132","72","38"
"PC_ZZD","464","411","360","293","230","172","131","72","38"
"BH","422","355","311","262","213","153","128","68","38"
"oracle_ABH","484","412","362","294","234","173","134","72","38"
"PC","458","426","364","290","247","191","140","69","32"
"PC_ZZD","451","426","364","290","247","191","140","69","32"
"BH","406","362","320","265","223","174","129","66","32"
"oracle_ABH","471","428","367","292","245","191","140","69","32"
"PC","454","418","359","305","244","178","117","66","27"
"PC_ZZD","450","419","359","305","244","178","117","66","27"
