"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"STOREY","1115","510","235","95","38","10","5","10","2"
"PC","648","228","137","70","32","10","5","10","2"
"PC_STOREY","1259","544","264","95","38","11","5","10","2"
"QUAD","1022","441","215","95","38","10","5","10","2"
"PC_ZZD","645","228","137","70","32","10","5","10","2"
"QUAD_STOREY","1395","601","289","107","38","12","5","10","2"
"BH","228","82","14","36","22","7","3","5","2"
"oracle_ABH","6902","2532","827","324","77","32","8","10","2"
"STOREY","999","533","268","68","41","28","8","1","1"
"PC","487","299","189","34","39","24","7","1","1"
"PC_STOREY","1173","589","295","77","41","28","8","1","1"
"QUAD","878","487","259","66","41","27","8","1","1"
"PC_ZZD","487","297","188","34","39","24","7","1","1"
"QUAD_STOREY","1280","666","304","82","42","28","8","1","1"
"BH","58","48","0","25","22","19","6","1","1"
"oracle_ABH","6872","2470","798","206","79","33","8","1","1"
"STOREY","1130","518","256","162","53","7","2","0","0"
"PC","577","300","180","73","46","7","2","0","0"
"PC_STOREY","1247","646","272","172","54","7","2","0","0"
"QUAD","1018","508","251","153","48","7","2","0","0"
"PC_ZZD","576","300","180","73","46","7","2","0","0"
"QUAD_STOREY","1407","752","299","177","54","7","2","0","0"
"BH","91","17","78","28","15","4","2","0","0"
"oracle_ABH","6833","2532","1007","356","93","13","2","0","0"
"STOREY","980","550","300","59","67","3","1","0","1"
"PC","532","321","222","47","56","0","1","0","1"
"PC_STOREY","1185","605","343","60","68","3","1","0","1"
"QUAD","933","499","291","59","64","3","1","0","1"
"PC_ZZD","527","314","221","47","35","0","1","0","1"
"QUAD_STOREY","1315","682","379","60","69","3","1","0","1"
"BH","159","78","43","0","14","0","1","0","1"
"oracle_ABH","6788","2367","922","258","87","3","2","0","1"
"STOREY","1009","467","225","105","39","10","6","0","2"
"PC","573","217","119","79","35","10","6","0","2"
"PC_STOREY","1168","500","237","110","39","12","6","0","2"
"QUAD","931","425","215","105","39","10","6","0","2"
"PC_ZZD","572","217","119","79","30","10","6","0","2"
"QUAD_STOREY","1280","619","242","111","39","12","6","0","2"
"BH","83","34","10","19","16","3","4","0","2"
"oracle_ABH","6914","2489","795","225","85","16","8","0","2"
"STOREY","1168","591","214","123","48","8","0","5","1"
"PC","664","334","118","96","36","8","0","3","1"
"PC_STOREY","1247","662","263","125","52","8","0","5","1"
"QUAD","1044","519","189","123","48","8","0","5","1"
"PC_ZZD","664","334","117","96","36","8","0","3","1"
"QUAD_STOREY","1366","738","288","125","52","8","0","5","1"
"BH","138","64","26","30","11","2","0","3","1"
"oracle_ABH","6936","2587","950","398","177","8","0","5","1"
"STOREY","962","494","226","101","21","9","0","0","0"
"PC","382","276","150","75","21","9","0","0","0"
"PC_STOREY","1061","571","268","111","24","9","0","0","0"
"QUAD","804","455","190","100","21","9","0","0","0"
"PC_ZZD","382","276","150","75","21","9","0","0","0"
"QUAD_STOREY","1253","612","326","151","25","9","0","0","0"
"BH","84","56","36","24","15","8","0","0","0"
"oracle_ABH","6919","2555","959","239","88","14","6","0","0"
"STOREY","942","562","246","65","21","17","6","2","1"
"PC","360","317","116","57","20","10","6","2","1"
"PC_STOREY","1119","582","260","69","30","17","6","2","1"
"QUAD","820","535","203","65","21","17","6","2","1"
"PC_ZZD","360","316","115","57","20","10","6","2","1"
"QUAD_STOREY","1275","636","266","87","30","17","6","2","1"
"BH","115","29","36","20","7","10","4","2","1"
"oracle_ABH","6887","2662","835","269","73","19","6","2","1"
"STOREY","841","612","203","82","32","6","0","4","0"
"PC","409","342","144","59","29","6","0","4","0"
"PC_STOREY","989","697","215","83","32","18","0","4","0"
"QUAD","740","571","195","81","29","6","0","4","0"
"PC_ZZD","409","338","144","58","28","6","0","4","0"
"QUAD_STOREY","1088","725","238","95","32","20","0","4","0"
"BH","90","65","58","10","24","3","0","4","0"
"oracle_ABH","6736","2571","791","372","55","24","0","4","0"
"STOREY","1070","628","194","133","32","7","13","0","0"
"PC","463","359","104","92","31","5","13","0","0"
"PC_STOREY","1174","695","265","146","33","7","13","0","0"
"QUAD","972","589","174","127","32","7","13","0","0"
"PC_ZZD","461","359","94","89","31","5","13","0","0"
"QUAD_STOREY","1370","773","316","149","33","7","13","6","0"
"BH","81","75","18","23","0","5","0","0","0"
"oracle_ABH","6904","2584","922","291","53","7","15","6","0"
"STOREY","961","483","321","84","50","7","8","3","4"
"PC","462","241","247","48","35","7","8","3","4"
"PC_STOREY","1145","537","336","88","54","7","8","3","4"
"QUAD","875","448","312","82","49","7","8","3","4"
"PC_ZZD","461","240","246","48","35","7","5","3","4"
"QUAD_STOREY","1366","601","369","110","54","7","8","3","4"
"BH","64","66","59","17","9","1","4","2","4"
"oracle_ABH","6848","2368","1015","323","93","10","8","5","4"
"STOREY","1041","444","67","95","37","12","6","0","0"
"PC","557","232","33","62","35","12","6","0","0"
"PC_STOREY","1153","495","176","104","37","14","6","0","0"
"QUAD","914","407","37","94","37","12","6","0","0"
"PC_ZZD","556","230","33","62","35","12","6","0","0"
"QUAD_STOREY","1263","567","204","110","40","14","6","0","0"
"BH","109","62","11","15","23","2","6","0","0"
"oracle_ABH","6708","2401","816","245","47","27","6","0","0"
"STOREY","1162","438","213","71","18","46","1","3","0"
"PC","526","280","94","65","18","44","1","3","0"
"PC_STOREY","1315","487","219","71","19","46","1","3","0"
"QUAD","1088","403","186","71","18","46","1","3","0"
"PC_ZZD","526","252","94","65","18","44","1","3","0"
"QUAD_STOREY","1490","522","292","74","20","46","1","3","0"
"BH","15","86","3","19","8","36","1","0","0"
"oracle_ABH","7007","2482","854","214","138","57","1","3","0"
"STOREY","1038","534","210","102","77","31","0","2","0"
"PC","571","321","95","54","6","24","0","2","0"
"PC_STOREY","1261","650","222","129","77","31","0","2","0"
"QUAD","1011","513","192","102","76","30","0","2","0"
"PC_ZZD","570","310","95","54","6","24","0","2","0"
"QUAD_STOREY","1486","742","246","143","81","32","0","2","0"
"BH","123","85","35","5","2","16","0","2","0"
"oracle_ABH","6966","2459","961","333","148","37","0","2","0"
"STOREY","741","528","118","105","65","30","2","6","0"
