"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"STOREY","9483","8214","7049","5934","4804","3676","2601","1590","696"
"PC","9346","8128","7001","5889","4798","3673","2595","1578","696"
"PC_STOREY","9483","8214","7051","5934","4806","3673","2602","1591","696"
"QUAD","9451","8190","7041","5925","4809","3679","2601","1590","702"
"PC_ZZD","9346","8126","6999","5887","4798","3673","2594","1578","696"
"QUAD_STOREY","9483","8214","7051","5934","4812","3673","2604","1592","703"
"BH","8115","7071","6156","5174","4381","3366","2387","1502","655"
"oracle_ABH","9480","8239","7072","5933","4821","3696","2604","1572","685"
"STOREY","9415","8246","7100","5980","4796","3556","2720","1565","595"
"PC","9306","8182","7064","5931","4755","3541","2712","1561","593"
"PC_STOREY","9427","8246","7102","5980","4799","3555","2720","1561","595"
"QUAD","9420","8231","7101","5958","4787","3545","2722","1561","595"
"PC_ZZD","9306","8182","7063","5931","4755","3540","2711","1561","592"
"QUAD_STOREY","9442","8246","7103","5980","4802","3550","2722","1561","595"
"BH","8121","7144","6202","5244","4327","3199","2516","1474","582"
"oracle_ABH","9442","8253","7131","5956","4796","3556","2711","1570","593"
"STOREY","9437","8309","7027","5958","4781","3617","2653","1636","600"
"PC","9327","8236","6982","5946","4740","3582","2643","1636","600"
"PC_STOREY","9454","8308","7025","5967","4779","3618","2647","1636","600"
"QUAD","9415","8288","7019","5967","4766","3615","2644","1637","600"
"PC_ZZD","9327","8236","6980","5944","4740","3581","2643","1635","597"
"QUAD_STOREY","9464","8308","7023","5973","4777","3620","2644","1636","600"
"BH","8131","7219","6166","5276","4225","3293","2433","1549","584"
"oracle_ABH","9456","8309","7054","5960","4766","3598","2653","1637","600"
"STOREY","9407","8424","7068","5931","4717","3649","2634","1555","728"
"PC","9293","8316","7011","5887","4688","3637","2628","1551","728"
"PC_STOREY","9415","8419","7068","5925","4724","3649","2634","1553","728"
"QUAD","9391","8396","7059","5908","4716","3649","2634","1550","728"
"PC_ZZD","9293","8314","7010","5887","4686","3637","2624","1550","727"
"QUAD_STOREY","9424","8415","7071","5922","4731","3650","2634","1550","729"
"BH","8078","7158","6124","5265","4245","3320","2459","1473","700"
"oracle_ABH","9445","8391","7077","5933","4711","3659","2637","1557","725"
