"method","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"STOREY","0.636","0.667368421052632","0.710105263157895","0.749473684210526","0.788105263157895","0.839263157894737","0.876947368421053","0.917684210526316","0.955684210526316","1.00221052631579"
"PC_DM","0.365990040210966","0.431901529219299","0.502018342393799","0.573004452360907","0.638891216375944","0.708334453880802","0.796552498417664","0.858813672654196","0.922307187423862","0.998194038243221"
"HYB_PC_STO","0.354059991285513","0.420906223996622","0.492569654336237","0.564725495142397","0.632237880391759","0.702950556287552","0.792425014588218","0.855923165674228","0.920826840818776","0.99830370662633"
"PC_QUAD","0.251398489661392","0.332926335499991","0.414228087784358","0.499450373726938","0.576535033463069","0.65387787413171","0.760945183883728","0.837080811434171","0.906902022373865","0.996812595614032"
"PC_ZZD","0.366655499446105","0.432722935037432","0.503005644591903","0.574159707695193","0.640202359793889","0.709809899998684","0.79823666842892","0.860645152603696","0.924288893029307","1.0003552921377"
"HYB_Quad_Storey","0.250859462396579","0.33244007923668","0.413808661010696","0.499080995351579","0.576250393550264","0.653635572292434","0.760760620471699","0.836951493163563","0.906837251806905","0.996820208955677"
"STOREY","0.626315789473684","0.662842105263158","0.706842105263158","0.754842105263158","0.799157894736842","0.831157894736842","0.882105263157895","0.921473684210526","0.957473684210526","1.00094736842105"
"PC_DM","0.353434942830944","0.430833441760187","0.504981759658034","0.578154187486984","0.648407489854362","0.71007017675345","0.795290519791382","0.859318366289465","0.91573862613455","1.00640075891787"
"HYB_PC_STO","0.341095089683831","0.420170962392659","0.495560968334029","0.570399062420462","0.641805909519384","0.704719436571012","0.791425598401815","0.856791975838292","0.914372658008367","1.00636804810714"
"PC_QUAD","0.237483745994381","0.333298079383235","0.4176951703652","0.505025116216906","0.584927571375456","0.659879593105742","0.759325608682314","0.831785427128193","0.900069538059099","1.00692023194758"
"PC_ZZD","0.354070696705682","0.431652320483392","0.505976073301385","0.579321627094579","0.649741148775358","0.711549729591649","0.796971703961208","0.861151040344106","0.917704790523985","1.002366"
"HYB_Quad_Storey","0.236934352613617","0.332827899444684","0.417283433650535","0.504680849670325","0.584635792073874","0.659646773788018","0.759155082078897","0.831674530648338","0.90000884317039","1.00691653722225"
"STOREY","0.620315789473684","0.669157894736842","0.711684210526316","0.745368421052631","0.79378947368421","0.826315789473684","0.884526315789474","0.916210526315789","0.958526315789474","1.00178947368421"
"PC_DM","0.353708456178383","0.423250259448747","0.501354668776299","0.571803608111831","0.650577859589669","0.707656365127697","0.796171616881709","0.854804161124845","0.936011100820988","1.00768618817106"
"HYB_PC_STO","0.341527991606998","0.412429033554197","0.491979329419203","0.563480047395186","0.643752789911543","0.701794705063914","0.792513370637768","0.852098862763809","0.934662059280283","1.00773987263475"
"PC_QUAD","0.242476586971685","0.322421717168987","0.412005135110994","0.497942169285624","0.590570394478079","0.65685139684257","0.759213955411406","0.832084477632304","0.926729719438759","1.00851389528956"
"PC_ZZD","0.354344857185701","0.424051196362603","0.502340400722624","0.572956022248624","0.651916653605458","0.709130206887589","0.797854885727252","0.856626154570067","0.938025229885531","1.002366"
"HYB_Quad_Storey","0.241943399050032","0.321939909275555","0.411591066021956","0.497566742600002","0.590269755972","0.656583050807579","0.75905475077648","0.831963604235437","0.92666832801523","1.00851544754839"
"STOREY","0.626210526315789","0.663684210526316","0.714631578947368","0.746526315789474","0.794631578947368","0.833789473684211","0.881263157894737","0.912105263157895","0.957894736842105","0.995157894736842"
"PC_DM","0.358526664437655","0.429497488513217","0.50556762288342","0.569259383163196","0.645718526147266","0.722289147839716","0.786345705030141","0.86535069518159","0.928902554168093","1.00036452156003"
"HYB_PC_STO","0.34645531066798","0.418479191288993","0.495983265316181","0.561014991848614","0.639239222624601","0.716815618874285","0.782488569014999","0.862446216665869","0.927480072933829","0.999928795951054"
"PC_QUAD","0.24677081499407","0.332537111121963","0.418678773062528","0.495024380986615","0.584445104707734","0.677002220656149","0.745750149713983","0.845133099522019","0.91720855668409","1.00494716952617"
"PC_ZZD","0.359174465325714","0.43031320637104","0.506563322679163","0.57040577766376","0.64704582298013","0.723797610763504","0.788005725768243","0.867197641726389","0.930899864411254","1.002366"
"HYB_Quad_Storey","0.246229336334798","0.332046473753085","0.418249881221354","0.494654927852687","0.584161249557377","0.676760714717724","0.745580431650928","0.84500204811018","0.917142211439658","1.00492184258967"
"STOREY","0.636","0.673578947368421","0.716947368421053","0.747052631578947","0.792105263157895","0.834421052631579","0.86821052631579","0.915684210526316","0.960631578947368","0.998736842105263"
"PC_DM","0.363648937522913","0.437924771330999","0.512262438007286","0.571092277496861","0.640147283794469","0.717582614897219","0.779657136809526","0.854093204708222","0.93520143448962","1.00648344712819"
"HYB_PC_STO","0.351409817735431","0.427575858268348","0.502658303927608","0.562528857046656","0.633452284991654","0.712162211626923","0.775186089032364","0.851403716508069","0.933950876321401","1.0065073560916"
"PC_QUAD","0.250363351277877","0.340324103066455","0.425928721672685","0.498448685893667","0.574840005438308","0.669476220140842","0.74413769585236","0.828783760555176","0.926127213991367","1.01514542031475"
"PC_ZZD","0.364308857709092","0.438760428139969","0.513273977735611","0.572243008625419","0.641461399067926","0.719079942164066","0.781301332395217","0.855913516030561","0.937213647883623","1.002366"
"HYB_Quad_Storey","0.249810723940535","0.339871862954499","0.425492691068602","0.498062511821966","0.574543428027752","0.669233245499497","0.743936551540125","0.828664840332633","0.926075436595422","1.01515077625864"
"STOREY","0.61978947368421","0.666210526315789","0.712315789473684","0.750421052631579","0.793052631578947","0.833789473684211","0.878105263157895","0.911157894736842","0.963157894736842","1.00147368421053"
"PC_DM","0.357505849739307","0.433793615467936","0.50346265767457","0.573825221183336","0.641852220341677","0.709739234302407","0.786387518029261","0.857898256753396","0.92738298771119","1.01045460318829"
"HYB_PC_STO","0.345364643459167","0.422869405705754","0.494012200731804","0.565714752336401","0.635089685124153","0.70439987026773","0.782619296515421","0.854978990947926","0.926234360447129","1.0104421482083"
