"method","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"STOREY","0.444947368421053","0.500631578947368","0.567578947368421","0.624","0.695368421052632","0.753684210526316","0.811368421052632","0.870526315789474","0.940842105263158","0.997052631578947"
"PC_DM","0.24334422114298","0.32121721422805","0.412796150326914","0.493214599235844","0.580491697469534","0.659798731309674","0.745007610597406","0.828340694335493","0.91920406822637","1.00855524293127"
"HYB_PC_STO","0.229446216573992","0.309253399237141","0.401838180925848","0.483663010043827","0.573232777844069","0.653614942892253","0.740131731930245","0.825054085187958","0.917530952317765","1.00843174417382"
"PC_QUAD","0.162101326312257","0.249477759275081","0.353306111159045","0.442319519239881","0.534718691902305","0.624522708324399","0.718691350738638","0.810217943718714","0.908013874812145","1.01469424809802"
"PC_ZZD","0.243719500370204","0.321776740956913","0.413572352818587","0.494181071777636","0.581664667625747","0.661159341907953","0.74656982540408","0.830100075218291","0.921178431851794","1.002366"
"HYB_Quad_Storey","0.161527905378941","0.248989740519923","0.352851935709418","0.441924392449406","0.53442767334238","0.624266037688347","0.718483579970102","0.810079593793006","0.907941620403104","1.01469135277622"
"STOREY","0.440315789473684","0.509578947368421","0.566631578947368","0.628947368421053","0.695578947368421","0.750210526315789","0.823578947368421","0.874315789473684","0.942315789473684","0.994526315789474"
"PC_DM","0.237633074399643","0.327656442000641","0.402553279262866","0.504716757287697","0.582938592888315","0.664607295830859","0.761134095942947","0.831265088637043","0.925383187215134","0.992152125836711"
"HYB_PC_STO","0.224310925704047","0.315058505172798","0.391749677649269","0.495383528338727","0.57524576982023","0.658768895402435","0.756706307970244","0.828199168035601","0.923867662038913","0.991923432463354"
"PC_QUAD","0.158475526042268","0.25663287745464","0.340985366123047","0.455461231649301","0.53868237540317","0.631088813172804","0.736108108361298","0.813532807172948","0.919887197224014","0.992253297469756"
"PC_ZZD","0.237994841053673","0.328231203942414","0.403305247121602","0.50571044393544","0.584117352399089","0.665979283492794","0.762734466013948","0.833031388636758","0.927372170636085","0.99429908456644"
"HYB_Quad_Storey","0.157937934630271","0.256110376689983","0.340541157359499","0.455072749741076","0.538367132378976","0.630856889622116","0.735925792070539","0.813406745091722","0.919825964108172","0.99224376763159"
"STOREY","0.447052631578947","0.507684210526316","0.558105263157895","0.624210526315789","0.690526315789474","0.75778947368421","0.817157894736842","0.881684210526316","0.940315789473684","1.00031578947368"
"PC_DM","0.245718062457208","0.331740576908753","0.405775889324133","0.490684570973211","0.580565444182664","0.664174196127389","0.753455552984236","0.837927817188869","0.919344632123833","0.999179326513343"
"HYB_PC_STO","0.232111609374747","0.319514572334729","0.39487165386654","0.481466790443666","0.573226196568086","0.658066209680311","0.748977493159283","0.834813550337444","0.917717966997051","0.999174303106425"
"PC_QUAD","0.166239797522828","0.260212523480483","0.345291638298653","0.43997705017678","0.539557540823546","0.628862311522663","0.729020069232459","0.822875120418034","0.911403490759419","0.996739034607578"
"PC_ZZD","0.246098958192982","0.332325001913719","0.406535481878274","0.491645057468134","0.581738588823601","0.665545159075427","0.755037755622597","0.839709881204337","0.921319328323438","1.00134291159987"
"HYB_Quad_Storey","0.165685132907547","0.259706105856107","0.344839188474664","0.439604655905937","0.53925895312977","0.628608899098741","0.728838043694682","0.82274186522777","0.911335817841382","0.996739213432626"
"STOREY","0.442631578947368","0.503473684210526","0.562210526315789","0.628","0.688631578947368","0.755157894736842","0.813578947368421","0.876315789473684","0.942","1.00094736842105"
"PC_DM","0.240102240994015","0.327754889442113","0.408739447253195","0.490098125880385","0.577783795796686","0.664306417113505","0.74287549817788","0.838288558639975","0.927366851087235","1.00618768621112"
"HYB_PC_STO","0.226112493772962","0.314942203262955","0.3978241856974","0.481041916670269","0.569985606984982","0.658221301751698","0.738118017594106","0.835229185691328","0.926127262993512","1.00627979139698"
"PC_QUAD","0.159511220558479","0.259141385818219","0.348119657075682","0.436512406629098","0.538737604200623","0.629732878363386","0.711961574062319","0.824942744032038","0.923476358440431","1.00867522978098"
"PC_ZZD","0.240469849696207","0.328329884310533","0.409506051585396","0.491057224846218","0.578950359057541","0.665677692896396","0.744432668406569","0.840071476169717","0.929360527856908","1.002366"
"HYB_Quad_Storey","0.158941535155884","0.258609650389831","0.347670799103748","0.436146931352351","0.538421405215942","0.629478698030082","0.711762484162108","0.824815782364762","0.923426905695356","1.00868076394629"
"STOREY","0.437157894736842","0.513578947368421","0.570105263157895","0.62378947368421","0.682315789473684","0.747684210526316","0.812947368421053","0.873052631578947","0.932210526315789","0.999578947368421"
"PC_DM","0.248616185253968","0.326133074072165","0.412931012153938","0.501417950348441","0.575113040453533","0.663394051930783","0.754123800671489","0.83490139988862","0.905357687461663","1.00217121840907"
