"method","V2","V3","V4"
"STOREY","1.46","1.164","0.784"
"PC","1.51254016388691","1.22193301884157","0.897298385512567"
"RES_STOREY","0.912851385399554","0.737508794073975","0.501428284388575"
"PC_midp","0.918889661554735","0.745212762210699","0.553664377794916"
"STOREY_RANDOM","0.918812961750891","0.746648472305605","0.554434729147232"
"PC_RANDOM","0.896012577441684","0.729608211635397","0.507195375822876"
"STOREY","1.496","1.112","0.896"
"PC","1.54275118420467","1.20428420109475","0.967939238254356"
"RES_STOREY","0.946477318594845","0.694822473085084","0.593991521091572"
"PC_midp","0.936733510229604","0.730391149664147","0.613282028496117"
"STOREY_RANDOM","0.938364348534189","0.731112161642806","0.61427535853312"
"PC_RANDOM","0.936970029442814","0.696290771843305","0.580619059441743"
"STOREY","1.42","1.172","0.82"
"PC","1.48801774108121","1.22788544077084","0.918317156426768"
"RES_STOREY","0.883183904106525","0.733031602056181","0.514494043842345"
"PC_midp","0.893813462474494","0.74561275601258","0.56760061281802"
"STOREY_RANDOM","0.894935423785515","0.746697064767966","0.566372793640287"
"PC_RANDOM","0.86380977463149","0.728554355130479","0.514134808170565"
"STOREY","1.48","1.152","0.828"
"PC","1.53466090796602","1.21207601993958","0.929588876602064"
"RES_STOREY","0.945292200139423","0.730508467275452","0.532543499220251"
"PC_midp","0.940579288062808","0.743618656919067","0.576225675519728"
"STOREY_RANDOM","0.943266685990162","0.743395683501474","0.577375970160545"
"PC_RANDOM","0.947862125503346","0.718075769918137","0.5131235071131"
"STOREY","1.428","1.148","0.88"
"PC","1.50807994049088","1.22097766023986","0.950424705648888"
"RES_STOREY","0.898077979348132","0.720117215870702","0.569714201491176"
"PC_midp","0.915250600048408","0.739854489160859","0.59095788848756"
"STOREY_RANDOM","0.915006569729851","0.737087996423485","0.590888207513736"
"PC_RANDOM","0.905271443199066","0.702202317308552","0.559320793018951"
"STOREY","1.46","1.184","0.868"
"PC","1.52800089161284","1.23698822755424","0.941032985902058"
"RES_STOREY","0.933164415951083","0.75348280051451","0.557490876278117"
"PC_midp","0.934407950827359","0.758035078297356","0.580343777396217"
"STOREY_RANDOM","0.930931340850243","0.758969331829815","0.579542002915724"
"PC_RANDOM","0.948021473222749","0.739953076681951","0.541800302641623"
"STOREY","1.468","1.116","0.808"
"PC","1.52038963052041","1.19462314536981","0.905953069225861"
"RES_STOREY","0.934514947223722","0.718239126925531","0.527283514005358"
"PC_midp","0.932299905018333","0.729860743734062","0.567247478124704"
"STOREY_RANDOM","0.933308422590956","0.728196056462732","0.565829558107155"
"PC_RANDOM","0.931643452219101","0.697106611412357","0.509975225022118"
"STOREY","1.432","1.076","0.84"
"PC","1.49812440221931","1.1820873816585","0.935453756613922"
"RES_STOREY","0.887400750356746","0.687075722588516","0.529080787226612"
"PC_midp","0.901948127485259","0.726613071128209","0.572663843076095"
"STOREY_RANDOM","0.898820221754789","0.728629014561824","0.572494142409984"
"PC_RANDOM","0.878865889294002","0.67228859196846","0.512350258940411"
"STOREY","1.476","1.136","0.844"
"PC","1.54038596711718","1.22395289882587","0.919746243108118"
"RES_STOREY","0.925580048416322","0.714671049857862","0.540463425154674"
"PC_midp","0.931420146361617","0.744877283008199","0.566518140597904"
"STOREY_RANDOM","0.929334633804914","0.746524431721946","0.565735226643901"
"PC_RANDOM","0.922701155565205","0.724943424546698","0.532857006943096"
"STOREY","1.48","1.096","0.9"
"PC","1.52655397198671","1.1888865259955","0.960283273394767"
"RES_STOREY","0.941917735242205","0.690712641605953","0.57522490835109"
"PC_midp","0.933773621790681","0.719704872322498","0.593092940064739"
"STOREY_RANDOM","0.930100447186073","0.716690396758864","0.592728872408018"
"PC_RANDOM","0.938574950162121","0.690649047775997","0.561238584961733"
"STOREY","1.412","1.164","0.844"
"PC","1.48972705431686","1.22817514991276","0.927281146255182"
"RES_STOREY","0.864927240527787","0.736225412776231","0.530869227954899"
"PC_midp","0.889538988400314","0.745196772738404","0.572510128197457"
"STOREY_RANDOM","0.88989097633652","0.74458742753584","0.573030559526082"
"PC_RANDOM","0.854633555578955","0.721270645177287","0.510707695425879"
"STOREY","1.468","1.168","0.768"
"PC","1.53921317564433","1.25248723675069","0.884895377402437"
"RES_STOREY","0.931234150190147","0.736887762548296","0.48646007249249"
"PC_midp","0.937241594279417","0.76344846838045","0.545814314794159"
