"method","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"STOREY","19.984",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_DM","20.0691411891071",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HYB_PC_STO","19.9936374797535",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_QUAD","20.0429254098088",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_ZZD","20.04732",NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOREY","20.076",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_DM","20.0251808416427",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HYB_PC_STO","20.019578093181",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_QUAD","19.9829451200099",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_ZZD","20.04732",NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOREY","19.592",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_DM","19.8109241630921",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HYB_PC_STO","19.6631118710586",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_QUAD","19.7970622047483",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_ZZD","19.8537873456619",NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOREY","20.412",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_DM","20.2403986361741",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HYB_PC_STO","20.3892619826038",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_QUAD","20.3019647392016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_ZZD","20.04732",NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOREY","20.168",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_DM","20.109772302264",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HYB_PC_STO","20.2080675250664",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_QUAD","20.1867597312182",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_ZZD","20.04732",NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOREY","19.952",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_DM","20.0414818041289",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HYB_PC_STO","20.0443339264459",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_QUAD","20.1171526834959",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_ZZD","20.04732",NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOREY","20.208",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_DM","20.1392018759677",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HYB_PC_STO","20.2304599497945",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_QUAD","20.2172141799931",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_ZZD","20.04732",NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOREY","20.004",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_DM","20.0134066033993",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HYB_PC_STO","20.0568489959819",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_QUAD","20.0558039405718",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_ZZD","20.04732",NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOREY","19.916",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_DM","20.0130844477043",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HYB_PC_STO","19.9087240809105",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_QUAD","19.9714074488743",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_ZZD","20.04732",NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOREY","20.136",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_DM","20.0176292799918",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HYB_PC_STO","20.1456878096307",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_QUAD","20.0745624585914",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_ZZD","20.04732",NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOREY","19.888",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_DM","19.9199345627039",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HYB_PC_STO","19.8992840680561",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_QUAD","19.8982683558288",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_ZZD","19.9630556638793",NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOREY","19.764",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_DM","19.8825168862671",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HYB_PC_STO","19.8441605480744",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_QUAD","19.9057119482021",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_ZZD","19.9255494572201",NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOREY","19.744",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_DM","19.7912646186925",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HYB_PC_STO","19.6738043497124",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_QUAD","19.68733304307",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_ZZD","19.8340812867803",NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOREY","20.184",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_DM","20.2336544751179",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HYB_PC_STO","20.2909510381078",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_QUAD","20.3697406185336",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_ZZD","20.04732",NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOREY","19.896",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_DM","19.9489194044737",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HYB_PC_STO","20.0062412028269",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_QUAD","20.0572586926201",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_ZZD","19.9921090837847",NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOREY","20.048",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_DM","20.0689468248381",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HYB_PC_STO","20.0529075021903",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_QUAD","20.0690901094768",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_ZZD","20.04732",NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOREY","19.86",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_DM","19.9412452168294",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HYB_PC_STO","19.8556663608458",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_QUAD","19.9095479775612",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_ZZD","19.9844167390124",NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOREY","20.252",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_DM","20.1716992552454",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HYB_PC_STO","20.2820552207934",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_QUAD","20.2532663067931",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_ZZD","20.04732",NA,NA,NA,NA,NA,NA,NA,NA,NA
"STOREY","19.868",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC_DM","19.9004466846315",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HYB_PC_STO","19.875759941322",NA,NA,NA,NA,NA,NA,NA,NA,NA
