"method","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"STOREY","178","81","32","24","9","16","1","0","0","0"
"PC_DM","470","298","173","27","20","18","1","0","0","0"
"HYB_PC_STO","481","305","182","27","33","18","1","0","0","0"
"PC_QUAD","784","470","225","90","50","18","1","0","0","0"
"PC_ZZD","467","298","173","27","20","18","1","0","0","0"
"HYB_Quad_Storey","784","470","225","90","50","18","1","0","0","0"
"raw_BH","81","52","24","24","9","12","1","0","0","0"
"oracle_adaptive_BH","6677","2376","726","231","113","51","1","0","0","0"
"STOREY","170","52","87","0","15","30","2","2","0","0"
"PC_DM","486","292","173","56","23","41","2","2","0","0"
"HYB_PC_STO","509","299","176","56","23","41","2","2","0","0"
"PC_QUAD","762","489","228","74","34","42","2","2","0","0"
"PC_ZZD","486","290","164","56","16","41","2","2","0","0"
"HYB_Quad_Storey","762","489","228","74","34","42","2","2","0","0"
"raw_BH","54","40","46","0","12","29","2","2","0","0"
"oracle_adaptive_BH","6830","2416","918","383","74","47","4","2","0","0"
"STOREY","80","151","57","58","36","1","1","0","1","0"
"PC_DM","391","268","124","105","45","15","1","1","1","0"
"HYB_PC_STO","416","269","124","107","45","15","1","1","1","0"
"PC_QUAD","765","420","220","123","52","15","1","1","1","0"
"PC_ZZD","390","267","124","105","45","15","1","1","1","0"
"HYB_Quad_Storey","767","421","220","123","52","15","1","1","1","0"
"raw_BH","38","50","47","22","10","1","1","0","1","0"
"oracle_adaptive_BH","6781","2458","934","344","104","22","1","2","1","0"
"STOREY","184","78","55","47","7","27","6","0","0","0"
"PC_DM","512","213","161","71","7","30","8","0","0","0"
"HYB_PC_STO","516","223","164","71","7","30","8","0","0","0"
"PC_QUAD","833","409","190","131","7","35","8","0","0","0"
"PC_ZZD","512","213","161","71","7","30","8","0","0","0"
"HYB_Quad_Storey","836","409","190","131","7","35","8","0","0","0"
"raw_BH","101","46","34","25","7","27","0","0","0","0"
"oracle_adaptive_BH","6738","2515","757","393","32","38","8","0","0","0"
"STOREY","180","120","64","57","26","8","0","1","3","0"
"PC_DM","562","229","110","112","42","11","5","1","3","0"
"HYB_PC_STO","595","233","111","117","42","11","5","1","3","0"
"PC_QUAD","1004","362","219","145","72","11","5","1","3","0"
"PC_ZZD","562","226","110","112","42","11","5","1","3","0"
"HYB_Quad_Storey","1006","362","219","145","72","11","5","1","3","0"
"raw_BH","108","78","31","35","1","8","0","1","3","0"
"oracle_adaptive_BH","6908","2380","888","334","131","37","6","1","3","0"
"STOREY","135","161","40","29","31","5","7","6","0","0"
"PC_DM","381","358","154","43","48","11","7","6","0","0"
"HYB_PC_STO","394","374","155","43","50","11","7","6","0","0"
"PC_QUAD","751","561","216","81","59","12","7","6","0","0"
"PC_ZZD","381","357","154","43","48","11","7","6","0","0"
"HYB_Quad_Storey","753","562","216","81","59","12","7","6","0","0"
"raw_BH","78","99","23","25","30","4","6","6","0","0"
"oracle_adaptive_BH","6884","2581","975","253","171","20","13","6","0","0"
"STOREY","127","141","78","48","35","9","1","0","0","0"
"PC_DM","621","314","152","88","41","9","1","0","0","0"
"HYB_PC_STO","627","327","153","88","41","9","1","0","0","0"
"PC_QUAD","1003","516","205","129","42","9","1","0","0","0"
"PC_ZZD","619","314","152","88","41","9","1","0","0","0"
"HYB_Quad_Storey","1003","518","205","129","42","9","1","0","0","0"
"raw_BH","64","99","59","38","32","9","1","0","0","0"
"oracle_adaptive_BH","7074","2521","811","334","155","9","1","0","0","0"
"STOREY","115","130","31","0","37","0","3","3","0","0"
"PC_DM","367","211","190","0","47","0","3","3","0","0"
"HYB_PC_STO","371","212","190","0","47","0","3","3","0","0"
"PC_QUAD","878","444","239","0","47","0","3","3","0","0"
"PC_ZZD","367","211","190","0","44","0","3","3","0","0"
"HYB_Quad_Storey","881","444","239","0","47","0","3","3","0","0"
"raw_BH","87","82","21","0","29","0","3","3","0","0"
"oracle_adaptive_BH","6898","2352","768","173","83","0","3","4","0","0"
"STOREY","71","75","107","14","30","40","5","1","1","0"
"PC_DM","368","268","177","15","34","45","5","1","1","0"
"HYB_PC_STO","369","271","179","15","34","45","5","1","1","0"
"PC_QUAD","764","414","244","35","76","45","9","1","1","0"
"PC_ZZD","364","268","177","15","34","45","5","1","1","0"
"HYB_Quad_Storey","764","418","244","35","76","45","9","1","1","0"
"raw_BH","55","31","53","14","29","40","5","1","1","0"
"oracle_adaptive_BH","6776","2279","917","266","131","55","9","1","1","0"
"STOREY","172","114","129","54","67","0","3","1","0","0"
"PC_DM","447","307","221","77","79","3","3","1","0","0"
"HYB_PC_STO","468","320","225","77","79","3","3","1","0","0"
"PC_QUAD","967","413","352","91","82","3","3","1","0","0"
"PC_ZZD","427","307","221","77","79","3","3","1","0","0"
"HYB_Quad_Storey","967","413","352","91","82","3","3","1","0","0"
"raw_BH","108","66","89","31","39","0","3","1","0","0"
"oracle_adaptive_BH","6923","2363","955","256","125","3","3","1","0","0"
"STOREY","203","82","32","68","74","15","13","0","0","0"
"PC_DM","572","313","128","115","88","20","19","0","0","0"
"HYB_PC_STO","577","328","135","115","88","20","19","0","0","0"
"PC_QUAD","964","480","202","152","109","31","19","0","0","0"
"PC_ZZD","572","313","117","115","88","19","19","0","0","0"
"HYB_Quad_Storey","964","480","202","152","109","31","19","0","0","0"
"raw_BH","155","71","31","39","50","4","2","0","0","0"
"oracle_adaptive_BH","6870","2613","944","346","151","51","21","0","0","0"
"STOREY","289","55","68","62","4","0","5","0","1","0"
"PC_DM","652","275","147","108","4","0","5","0","1","0"
"HYB_PC_STO","680","277","147","108","4","0","5","0","1","0"
"PC_QUAD","1039","475","236","155","25","0","6","0","1","0"
"PC_ZZD","648","275","147","108","4","0","5","0","1","0"
"HYB_Quad_Storey","1040","475","236","155","25","0","6","0","1","0"
"raw_BH","157","41","32","39","4","0","5","0","1","0"
"oracle_adaptive_BH","6845","2604","784","373","65","6","7","0","1","0"
"STOREY","201","154","40","39","16","17","2","8","0","0"
"PC_DM","420","415","88","53","19","21","2","8","0","0"
"HYB_PC_STO","434","416","105","53","19","21","2","8","0","0"
"PC_QUAD","742","601","241","89","72","29","2","9","0","0"
"PC_ZZD","419","415","88","53","19","21","2","8","0","0"
"HYB_Quad_Storey","742","602","241","89","72","29","2","9","0","0"
"raw_BH","93","87","29","38","8","17","2","8","0","0"
"oracle_adaptive_BH","6855","2603","879","314","109","33","2","9","0","0"
"STOREY","155","156","20","10","10","10","1","1","0","0"
"PC_DM","594","258","110","74","11","18","1","1","0","0"
"HYB_PC_STO","615","262","119","75","11","18","1","1","0","0"
"PC_QUAD","989","414","253","127","15","21","1","1","0","0"
"PC_ZZD","591","258","110","74","11","18","1","1","0","0"
"HYB_Quad_Storey","989","414","253","127","15","21","1","1","0","0"
"raw_BH","41","117","9","10","8","5","1","1","0","0"
"oracle_adaptive_BH","6986","2545","936","233","44","27","1","1","0","0"
"STOREY","109","54","53","45","0","5","10","3","0","0"
"PC_DM","402","186","96","86","19","5","10","3","0","0"
"HYB_PC_STO","407","186","113","88","19","5","10","3","0","0"
"PC_QUAD","895","349","217","100","42","7","17","3","0","0"
"PC_ZZD","396","186","96","86","19","5","10","3","0","0"
"HYB_Quad_Storey","895","349","217","100","42","7","17","3","0","0"
"raw_BH","48","30","27","43","0","5","8","3","0","0"
"oracle_adaptive_BH","6804","2304","837","267","116","10","20","4","0","0"
"STOREY","188","107","76","42","10","8","7","0","0","0"
"PC_DM","451","284","145","52","23","10","8","0","0","0"
"HYB_PC_STO","454","289","145","52","23","10","8","0","0","0"
"PC_QUAD","823","430","241","87","25","10","8","0","0","0"
"PC_ZZD","451","284","145","52","23","10","8","0","0","0"
"HYB_Quad_Storey","824","430","243","87","25","10","8","0","0","0"
"raw_BH","71","61","57","42","10","8","7","0","0","0"
